DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,l_bmi_all_fe,l_bmi_ur_fe,l_bmi_ru_fe,h_bmi_all_fe,h_bmi_ur_fe,h_bmi_ru_fe,hh_bmi_all_fe,hh_bmi_ur_fe,hh_bmi_ru_fe,hhh_bmi_all_fe,hhh_bmi_ur_fe,hhh_bmi_ru_fe,h_hemoglobin_all_fe,h_hemoglobin_ur_fe,h_hemoglobin_ru_fe,l_hemoglobin_all_fe,l_hemoglobin_ur_fe,l_hemoglobin_ru_fe,hh_hemoglobin_all_fe,hh_hemoglobin_ur_fe,hh_hemoglobin_ru_fe,h_hemoglobin_all_pw,h_hemoglobin_ur_pw,h_hemoglobin_ru_pw,l_hemoglobin_all_pw,l_hemoglobin_ur_pw,l_hemoglobin_ru_pw,hh_hemoglobin_all_pw,hh_hemoglobin_ur_pw,hh_hemoglobin_ru_pw,h_hemoglobin_all_npw,h_hemoglobin_ur_npw,h_hemoglobin_ru_npw,l_hemoglobin_all_npw,l_hemoglobin_ur_npw,l_hemoglobin_ru_npw,hh_hemoglobin_all_npw,hh_hemoglobin_ur_npw,hh_hemoglobin_ru_npw,h_glucose_all_fe,h_glucose_ur_fe,h_glucose_ru_fe,hh_glucose_all_fe,hh_glucose_ur_fe,hh_glucose_ru_fe,l_glucose_all_fe,l_glucose_ur_fe,l_glucose_ru_fe,h_bp_all_fe,h_bp_ur_fe,h_bp_ru_fe,l_bp_all_fe,l_bp_ur_fe,l_bp_ru_fe,hh_bp_all_fe,hh_bp_ur_fe,hh_bp_ru_fe,hhh_bp_all_fe,hhh_bp_ur_fe,hhh_bp_ru_fe,hhhh_bp_all_fe,hhhh_bp_ur_fe,hhhh_bp_ru_fe,hh_cbp_all_fe,hh_cbp_ur_fe,hh_cbp_ru_fe,h_cbp_all_fe,h_cbp_ur_fe,h_cbp_ru_fe,l_cbp_all_fe,l_cbp_ur_fe,l_cbp_ru_fe,sum_bp_all_fe,ad_hbp_all_fe,ad_lowbp_all_fe,ad_elevatedbp_all_fe,ad_highbp_all_fe,adseverebp_all_fe,sum_bp_ur_fe,ad_hbp_ur_fe,ad_lowbp_ur_fe,ad_elevatedbp_ur_fe,ad_highbp_ur_fe,adseverebp_ur_fe,sum_bp_ru_fe,ad_hbp_ru_fe,ad_lowbp_ru_fe,ad_elevatedbp_ru_fe,ad_highbp_ru_fe,adseverebp_ru_fe,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,sum_bp_all_ma,ad_hbp_all_ma,ad_lowbp_all_ma,ad_elevatedbp_all_ma,ad_highbp_all_ma,adseverebp_all_ma,sum_bp_ur_ma,ad_hbp_ur_ma,ad_lowbp_ur_ma,ad_elevatedbp_ur_ma,ad_highbp_ur_ma,adseverebp_ur_ma,sum_bp_ru_ma,ad_hbp_ru_ma,ad_lowbp_ru_ma,ad_elevatedbp_ru_ma,ad_highbp_ru_ma,adseverebp_ru_ma
Kupwara,Jammu & Kashmir,1,1,0.151569575,0.116276398,0.161022276,0.631855071,0.527409852,0.659829021,0.177593157,0.301437646,0.14442341,0.038982227,0.054876149,0.034725301,0.271563649,0.280136138,0.269251138,0.728436351,0.719863832,0.730748832,0,0,0,0.049053222,0.240901336,0.013495448,0.950946748,0.759098649,0.986504555,0,0,0,0.288603932,0.28230378,0.290347308,0.711396098,0.717696249,0.709652722,0,0,0,0.743885458,0.740184426,0.74488467,0.217201695,0.195855841,0.222964942,0.038912866,0.063959748,0.032150369,0.475079238,0.471379161,0.476042271,0.103104278,0.071314022,0.111378506,0.111964278,0.081909522,0.119786799,0.236861393,0.2845397,0.224451885,0.10309229,0.104204543,0.102802798,0.038438693,0.02965945,0.040723719,0.498304158,0.540801883,0.487243026,0.463257134,0.429538637,0.472033262,1.030101538,0.461196512,0.100091375,0.108692467,0.229939848,0.100079738,1.01334691,0.465170562,0.070374735,0.080830686,0.280791998,0.102832049,1.034462214,0.460183322,0.107668027,0.115796208,0.216974467,0.099378012,0.428248286,0.374806345,0.451229692,0.531047404,0.625193655,0.490562081,0.040704332,0,0.058208242,0.408663511,0.468556792,0.383168459,0.057346337,0,0.081757225,0.166820958,0.191664055,0.156245872,0.293183953,0.275193214,0.300842166,0.120822117,0.091424614,0.133335888,0.051596314,0.064550094,0.046082217,0.605853856,0.639896512,0.591362774,0.342549801,0.295553416,0.362554997,1.046836853,0.390379369,0.054780588,0.159357175,0.28006652,0.115416378,1.02683866,0.456310034,0,0.186654493,0.268000454,0.089035034,1.055349588,0.363072544,0.077469327,0.148051292,0.285063982,0.126342863
Badgam,Jammu & Kashmir,1,2,0.105874188,0.05192275,0.118537046,0.570445538,0.526306272,0.580805421,0.239841744,0.315969288,0.221973985,0.083838515,0.105801672,0.078683577,0.261733085,0.175984025,0.281995863,0.738266885,0.824015975,0.718004107,0,0,0,0.151220709,0.11872077,0.160109043,0.848779321,0.88127923,0.839890957,0,0,0,0.266409159,0.178720683,0.286996454,0.733590841,0.821279347,0.713003576,0,0,0,0.787049353,0.743236899,0.797413051,0.174603075,0.145906284,0.181391239,0.038347576,0.110856809,0.021195691,0.465805382,0.524618685,0.451534241,0.03090954,0.012136844,0.035464764,0.105316855,0.12841478,0.099712111,0.332535803,0.26810047,0.348171145,0.103862472,0.098611914,0.105136529,0.022183925,0.024719859,0.021568578,0.492849439,0.516226649,0.487176925,0.484966636,0.459053487,0.491254508,1.038430095,0.448566914,0.029765643,0.1014193,0.320229352,0.10001874,1.031882644,0.508409262,0.011761845,0.124447078,0.259816825,0.095565051,1.040018797,0.434159696,0.034100119,0.0958753,0.334773898,0.10109099,0.400611281,0.475085676,0.374752074,0.556523383,0.485139787,0.581309378,0.042865347,0.039774526,0.043938555,0.308196485,0.369500399,0.286223501,0.032416869,0,0.044035949,0.170263514,0.154302657,0.175984308,0.414408177,0.434811741,0.407094985,0.149927944,0.094922401,0.169643402,0.028142013,0,0.038228866,0.666603982,0.701532423,0.654084682,0.305254012,0.298467547,0.307686478,1.075212955,0.286637634,0.030149255,0.158353299,0.385419637,0.139440238,1.05353725,0.350723624,0,0.146461517,0.412716061,0.090098761,1.082982183,0.264291972,0.040661748,0.162499726,0.375901818,0.156644687
Leh (ladakh),Jammu & Kashmir,1,3,0.048906621,0.048846908,0.048939452,0.759041011,0.749522388,0.764274299,0.164429381,0.17322062,0.159595966,0.027623007,0.028410077,0.027190275,0.148783758,0.115468517,0.167132884,0.850389361,0.882203221,0.832867086,0.000826905,0.002328259,0,0.107445456,0,0.210296303,0.892554522,1,0.789703727,0,0,0,0.150621533,0.12265797,0.165626392,0.848514795,0.87486881,0.834373593,0.000863666,0.002473224,0,0.799457192,0.866025984,0.762892187,0.109007932,0.079435132,0.12525174,0.091534853,0.054538891,0.111856058,0.527548611,0.483508497,0.549677312,0.021587558,0.017273668,0.023755144,0.074696004,0.11154405,0.056181092,0.314834327,0.334581465,0.30491206,0.078152657,0.073612683,0.080433838,0.013893606,0.00697603,0.017369457,0.408566594,0.425361842,0.40012753,0.577539802,0.56766212,0.582503021,1.016819119,0.518822491,0.02123048,0.073460467,0.309626669,0.076859944,1.020520329,0.473786235,0.016926335,0.109301157,0.327853799,0.072132498,1.014959455,0.541575611,0.023405017,0.055353042,0.30041796,0.079248324,0.365660489,0.275392532,0.425438762,0.564364195,0.702429831,0.472932816,0.069975324,0.022177659,0.10162843,0.263983697,0.107403107,0.350830078,0.011383069,0.031906284,0,0.101409413,0.05369091,0.127876177,0.504303873,0.648494661,0.4243294,0.228153378,0.32873112,0.172368586,0.029170992,0.058084283,0.01313442,0.526211739,0.487599611,0.547627687,0.444617271,0.454316109,0.439237893,1.109233379,0.237987518,0.010262105,0.091422975,0.454641819,0.205685645,1.170226097,0.091779791,0.027265059,0.045880802,0.554161847,0.280912489,1.075404286,0.326230884,0,0.118909866,0.394576639,0.160282597
Kargil,Jammu & Kashmir,1,4,0.150772512,0.144030958,0.152494669,0.712119639,0.634190679,0.732026815,0.118541591,0.17256321,0.104741596,0.018566247,0.049215123,0.010736898,0.2337441,0.296685547,0.217802808,0.760660231,0.697883606,0.77655977,0.005595687,0.005430839,0.005637439,0.081520714,0,0.123505652,0.918479264,1,0.876494348,0,0,0,0.241626874,0.323475868,0.221806452,0.752487659,0.670602858,0.772316754,0.005885455,0.005921236,0.005876791,0.674369156,0.679007232,0.673194468,0.175045848,0.218563721,0.16402401,0.150584996,0.102429062,0.162781537,0.536104679,0.53014183,0.537469268,0.06450519,0.041115902,0.069857739,0.10047166,0.13720116,0.092066243,0.255956143,0.272909135,0.252076507,0.077367671,0.056552511,0.082131147,0.026830362,0.018990453,0.028624497,0.474606395,0.451165795,0.479970694,0.49856323,0.529843748,0.491404802,1.034405351,0.518273294,0.062359683,0.097129874,0.247442782,0.074794345,1.037920594,0.510773003,0.039613727,0.132188499,0.26293835,0.054486357,1.033600926,0.519996881,0.067586765,0.0890733,0.243881851,0.07946118,0.64032948,0.691560209,0.613232255,0.271198481,0.241999954,0.286642283,0.088472046,0.066439852,0.100125425,0.418189645,0.48544395,0.387473732,0.027653659,0.014147776,0.033821966,0.173324004,0.153108448,0.182556689,0.325942278,0.318187714,0.329483896,0.095168509,0.072778344,0.105394378,0.010175853,0,0.014823293,0.64693886,0.668481052,0.637100279,0.342885286,0.331518918,0.348076433,1.040278077,0.401997954,0.026582949,0.166613147,0.313322246,0.09148372,1.043666244,0.465133339,0.013555843,0.146702498,0.304874957,0.069733351,1.038730621,0.373026192,0.032560863,0.175749794,0.317198604,0.101464592
Punch,Jammu & Kashmir,1,5,0.138569027,0.06136433,0.143891633,0.643190444,0.560022652,0.648924172,0.166930228,0.292512,0.15827243,0.051310278,0.086101025,0.04891175,0.611642003,0.56239301,0.615085781,0.381746203,0.43760699,0.377840012,0.006611823,0,0.007074166,0.400764376,0.275180697,0.412867188,0.599235654,0.724819303,0.587132812,0,0,0,0.622228861,0.58212781,0.624981105,0.370827377,0.417872161,0.367598563,0.006943761,0,0.00742033,0.823094666,0.834027588,0.822330773,0.099884115,0.102863692,0.099675924,0.077021196,0.063108698,0.077993296,0.446470231,0.389001161,0.450530082,0.015169566,0.029146222,0.014182198,0.115689673,0.06851685,0.119022161,0.345615,0.414783746,0.340728611,0.108696498,0.13792266,0.106631838,0.019966999,0.04235654,0.01838531,0.523816347,0.420495242,0.531115353,0.456216663,0.537148237,0.450499326,1.031641006,0.432776749,0.014704308,0.112141408,0.33501479,0.105362713,1.039370656,0.374266058,0.028042182,0.065921478,0.399072021,0.132698238,1.031094909,0.436943382,0.013754503,0.115432791,0.330453187,0.103416122,0.431921244,0.379923373,0.438105524,0.480564535,0.599323153,0.466440141,0.087514237,0.020753499,0.095454335,0.256219923,0.255402356,0.256320447,0.013853678,0,0.015556995,0.147271752,0.147394612,0.147256643,0.503017843,0.483690858,0.505394101,0.169019014,0.232528746,0.161210462,0.039436653,0.162643701,0.024288282,0.637641013,0.498939931,0.654694378,0.322922349,0.338416368,0.321017355,1.089382172,0.23519747,0.012717004,0.135188326,0.461745977,0.155151263,1.119016528,0.22823824,0,0.131717995,0.432246387,0.207797423,1.085738659,0.23607932,0.014328489,0.135628074,0.465484113,0.148479983
Rajouri,Jammu & Kashmir,1,6,0.167196125,0.074623249,0.174083754,0.610902071,0.49465397,0.619551182,0.154629633,0.279503345,0.145338744,0.067272194,0.151219442,0.061026324,0.591238916,0.728873491,0.580959857,0.401721865,0.271126479,0.411475241,0.007039202,0,0.007564917,0.303043216,0.533167064,0.285733998,0.696956754,0.466832936,0.714266002,0,0,0,0.607002795,0.739653349,0.597099841,0.38557297,0.260346621,0.39492169,0.007424237,0,0.007978491,0.769908011,0.759730995,0.77066803,0.129943803,0.204359472,0.124386154,0.100148216,0.035909545,0.104945801,0.428514212,0.343497574,0.434195906,0.026487235,0.027721902,0.026404722,0.099183425,0.031661019,0.103695974,0.358261943,0.427330881,0.35364604,0.134375319,0.281010032,0.12457566,0.026743792,0.022309115,0.027040163,0.434778243,0.343664467,0.440867424,0.538477957,0.634026408,0.532092452,1.04682219,0.409347653,0.025302516,0.094747156,0.342237622,0.128364995,1.111221433,0.309117138,0.024947235,0.028492087,0.384559602,0.252883911,1.042518258,0.416487575,0.025327826,0.099466816,0.339222878,0.119494945,0.52083075,0.515798211,0.521208227,0.381983936,0.484201759,0.374316275,0.097185336,0,0.104475483,0.363124371,0.35789156,0.363530517,0.019788783,0,0.021324676,0.119515069,0.126310214,0.118987665,0.344816923,0.32105422,0.34666124,0.226760432,0.284216881,0.222300991,0.05872478,0.036837332,0.060423557,0.558887124,0.67894578,0.549568892,0.382388085,0.284216881,0.390007555,1.074005604,0.338102877,0.018425213,0.111279741,0.321056902,0.211135238,1.08947289,0.328499734,0,0.115936995,0.294687659,0.260875583,1.072805047,0.338859826,0.019877493,0.110912666,0.323135346,0.207214713
Kathua,Jammu & Kashmir,1,7,0.153752863,0.129776835,0.157523155,0.5873335,0.51611948,0.59853214,0.183946162,0.265124619,0.171180606,0.074967474,0.088979065,0.072764106,0.556338668,0.397947043,0.580958784,0.443661332,0.602052927,0.419041246,0,0,0,0.284639776,0.468752831,0.256482899,0.715360224,0.531247139,0.743517101,0,0,0,0.567067325,0.395191729,0.593800426,0.432932645,0.604808271,0.406199574,0,0,0,0.743777752,0.747087598,0.743262708,0.139909163,0.133179724,0.140956387,0.116313078,0.119732678,0.115780935,0.524389565,0.519302249,0.525144696,0.031918518,0.0460588,0.029819611,0.06144172,0.038123112,0.064903006,0.328183651,0.354165733,0.324326992,0.090993941,0.087602913,0.091497287,0.023866713,0.025983293,0.023552539,0.377230912,0.343174726,0.382286012,0.598902404,0.63084197,0.594161451,1.036927342,0.505714834,0.030781828,0.05925364,0.316496283,0.087753437,1.0452528,0.496819764,0.044064745,0.036472622,0.338832617,0.083810262,1.035691619,0.507047355,0.028791979,0.062666342,0.313150167,0.088344142,0.441541493,0.478467077,0.433585644,0.474990278,0.455444843,0.479201466,0.083468243,0.066088095,0.087212898,0.363125235,0.26861912,0.380795777,0.028819798,0,0.034208458,0.118066505,0.086410306,0.123985514,0.376955897,0.520038843,0.35020256,0.173062488,0.249863386,0.158702433,0.034077525,0.05817724,0.029571416,0.608618498,0.591388881,0.611840069,0.357303977,0.350433886,0.358588517,1.060029864,0.342561334,0.027187722,0.111380354,0.355608761,0.163261905,1.124931693,0.238787055,0,0.076813824,0.462284803,0.22211428,1.047894716,0.36339125,0.032644939,0.118318677,0.334196329,0.151448831
Baramula,Jammu & Kashmir,1,8,0.138268813,0.058177307,0.160823271,0.608957112,0.571485698,0.619509399,0.195474431,0.316422254,0.161414459,0.057299636,0.05391473,0.058252856,0.402454913,0.464306116,0.385072857,0.592458785,0.521009386,0.612538218,0.005086298,0.014684477,0.002388917,0.266752928,0.466607302,0.19374679,0.733247042,0.533392668,0.806253195,0,0,0,0.407535136,0.464200169,0.391777873,0.587188125,0.520439327,0.605749488,0.005276712,0.015360506,0.002472637,0.679225445,0.657651544,0.68528837,0.23458299,0.251872092,0.229724228,0.08619155,0.090476356,0.084987387,0.40530926,0.370872766,0.414861143,0.03841364,0.008462043,0.046721514,0.16580826,0.204210877,0.155156285,0.327905774,0.376998931,0.314288497,0.100331575,0.096403778,0.101421051,0.027982375,0.036538549,0.025609093,0.610004544,0.692930639,0.587002754,0.362013072,0.27053079,0.38738814,1.037768483,0.390558451,0.037015617,0.159773842,0.315972,0.096680112,1.056948423,0.35089013,0.008006107,0.193207994,0.356686205,0.091209538,1.03244853,0.401822597,0.045253117,0.150279924,0.304410815,0.098233521,0.510540068,0.448062778,0.539384663,0.439242363,0.490766615,0.415454566,0.05021758,0.061170612,0.045160767,0.26521337,0.312759846,0.245120302,0.020591877,0,0.029293979,0.238519222,0.287613183,0.217772156,0.425457448,0.364500999,0.451217562,0.110824667,0.048602108,0.137119845,0.04070111,0,0.057901349,0.720134377,0.809517741,0.682361007,0.239164546,0.190482244,0.259737611,1.060606599,0.250058204,0.019415189,0.224889442,0.401145399,0.104491778,1.013476133,0.308601111,0,0.2837888,0.359654248,0.047955848,1.080523849,0.226853207,0.027110904,0.201543123,0.417591482,0.126901269
Bandipore,Jammu & Kashmir,1,9,0.089271322,0.099445194,0.085891917,0.546396077,0.496375442,0.563011229,0.255657911,0.283866793,0.246287882,0.108674698,0.120312594,0.104808986,0.422186077,0.419776738,0.422975242,0.57323575,0.580223262,0.570946991,0.004578165,0,0.006077764,0.298109651,0.333063334,0.274598271,0.701890349,0.666936696,0.725401759,0,0,0,0.426200897,0.424445033,0.426760584,0.569072783,0.575554967,0.567006588,0.004726304,0,0.006232818,0.772112608,0.79112345,0.765879571,0.18145825,0.199679971,0.175483912,0.046429127,0.009196584,0.058636513,0.477166831,0.430419147,0.492761552,0.077828303,0.061373875,0.083317384,0.101061806,0.112715557,0.097174197,0.262051553,0.304351956,0.247940406,0.114677221,0.1343005,0.108131029,0.057100959,0.034291171,0.064710148,0.511479318,0.56444633,0.493809849,0.43141976,0.401262522,0.441479981,1.032785654,0.462019235,0.075357653,0.097853608,0.253732771,0.111036807,1.043161035,0.412610441,0.058834516,0.108051926,0.291759312,0.128743783,1.029324532,0.478723228,0.080943748,0.094405793,0.240876809,0.105050474,0.382261693,0.322532743,0.407412261,0.576087892,0.677467287,0.533399224,0.041650433,0,0.05918853,0.448400676,0.526251376,0.414042264,0.068813652,0.031561907,0.085254237,0.134709999,0.12925148,0.137119055,0.284351438,0.256200016,0.296775699,0.116202176,0.081137016,0.131677747,0.068154491,0.056799661,0.073165804,0.600778103,0.574559033,0.61234957,0.331067413,0.368641317,0.314484626,1.052477956,0.426042825,0.06538251,0.127993181,0.270173281,0.110408179,1.024401784,0.513715804,0.030810086,0.126172647,0.250097185,0.079204291,1.064869046,0.388819903,0.080060773,0.128766119,0.278696895,0.12365628
Srinagar,Jammu & Kashmir,1,10,0.040635753,0.040022574,0.088984981,0.538142085,0.534612656,0.816437542,0.319927067,0.323044032,0.074154146,0.101295099,0.102320738,0.020423304,0.356027037,0.356144786,0.346948862,0.636864007,0.636654079,0.653051138,0.007108958,0.00720116,0,0.411956072,0.4189834,0,0.588043928,0.5810166,1,0,0,0,0.353803664,0.353657156,0.365242004,0.638804793,0.63885659,0.634757996,0.007391566,0.007486236,0,0.77737093,0.777586341,0.760760128,0.167357743,0.167652085,0.144662425,0.055271346,0.054761555,0.094577454,0.43964228,0.437519014,0.655100226,0.031182706,0.030857898,0.064142525,0.101226583,0.102013439,0.021380842,0.343513966,0.344764531,0.216614723,0.141140714,0.141899511,0.064142525,0.038627718,0.038086124,0.093585745,0.532562375,0.53333056,0.454610288,0.428809881,0.428583294,0.451803982,1.05670619,0.416049689,0.029509343,0.095794447,0.325079918,0.133566663,1.0570544,0.413903981,0.029192347,0.096507274,0.326155901,0.134240493,1.021380901,0.641386807,0.062799811,0.02093327,0.212080255,0.062799811,0.438176274,0.439239711,0.396199435,0.497121543,0.496007174,0.541108787,0.064702176,0.064753108,0.06269177,0.340919644,0.339838862,0.40687117,0.008762502,0.00619466,0.165460125,0.120893456,0.121066943,0.110306747,0.402387947,0.403781295,0.317361951,0.220514625,0.222883627,0.075950921,0.065362297,0.0664334,0,0.633848131,0.62965554,0.88969326,0.300789565,0.30391106,0.110306747,1.093478203,0.311775446,0.008013422,0.110558636,0.367989004,0.201663479,1.093765378,0.310705453,0.005663609,0.110688217,0.369166285,0.203776449,1.075950861,0.378150314,0.153780371,0.10252025,0.294959515,0.07058958
