DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma
Kupwara,Jammu & Kashmir,1,1,1,0.273248166,0.302658677,0.360854089,0.685929477,0.697341323,0.520850241,0.040822357,0,0.118295692,0.430648804,0.262099117,0.447962999,0.081578493,0,0.153279349,0.118894301,0.260089815,0.103152648,0.309125274,0.477811068,0.192732245,0.094356053,0,0.162407458,0.085223392,0,0.053965613,0.552885115,0.630044878,0.531763434,0.361891478,0.369955093,0.414270937
Badgam,Jammu & Kashmir,1,2,2,0.521756232,0.5,0.404755056,0.435001016,0.25,0.512044787,0.043242719,0.25,0.083200149,0.325207382,0.25,0.188055307,0,0,0.018898914,0.138029516,0.5,0.143881962,0.456446052,0.25,0.536489487,0.282984555,0,0.250163943,0.018652452,0,0.065363146,0.77767092,0.75,0.680444419,0.203676641,0.25,0.254192412
Leh (ladakh),Jammu & Kashmir,1,3,3,0.396678925,0.258994102,0.26811865,0.531306922,0.594075978,0.680557787,0.072014153,0.14692995,0.051323585,0.226927489,0.112064153,0.269501626,0,0,0,0.089512371,0,0.204333186,0.521682262,0.503115118,0.309534013,0.250773937,0.531750679,0.266054928,0.064609446,0,0,0.489978582,0.496884882,0.526651025,0.44541198,0.503115118,0.473348945
Kargil,Jammu & Kashmir,1,4,4,0.48151657,0.393202543,0.526579559,0.211325124,0.606797457,0.293019801,0.307158291,0,0.180400625,0.322146297,0.606797457,0.488097996,0,0.393202543,0,0.157874316,0,0.231115639,0.463576138,0,0.280786365,0.056403238,0,0,0,0,0,0.726524174,0.606797457,0.62630403,0.273475826,0.393202543,0.37369594
Punch,Jammu & Kashmir,1,5,5,0.431550473,0.339675903,0.323385268,0.511574209,0.660324097,0.56391269,0.0568753,0,0.11270202,0.231176585,0.39238894,0.223697454,0,0,0,0.191378772,0.071740717,0.237934351,0.554934144,0.339675903,0.511259019,0.086769216,0.267935187,0.117372997,0.087583348,0.098097235,0,0.628063798,0.633967578,0.775994003,0.284352839,0.267935187,0.224005997
Rajouri,Jammu & Kashmir,1,6,6,0.521524787,0.5,0.455413312,0.314153224,0.5,0.435135633,0.164322004,0,0.109451056,0.411559731,0.705857515,0.414051771,0,0,0,0.163427398,0,0.115457468,0.290971339,0.294142485,0.346858323,0.223583579,0,0.210397422,0.064796336,0,0.033223886,0.493181914,0.705857515,0.506485701,0.442021757,0.294142485,0.460290432
Kathua,Jammu & Kashmir,1,7,7,0.574868977,0.63978833,0.478357971,0.372606993,0.246006012,0.401624262,0.052524026,0.114205673,0.120017774,0.471807301,0.398293853,0.524527013,0.045094218,0,0.022404769,0.112806506,0,0.04716244,0.270186007,0.601706147,0.271510929,0.189593792,0.153218493,0.134394884,0.045775246,0,0.023367429,0.653024137,0.734470785,0.556974649,0.301200628,0.265529215,0.419657916
Baramula,Jammu & Kashmir,1,8,8,0.471131533,0.392302692,0.685453296,0.473528802,0.607697308,0.300914973,0.055339664,0,0.013631702,0.30195725,0.237384439,0.237122208,0,0,0.024378138,0.298197955,0.347745746,0.221052602,0.384341508,0.414869815,0.517447054,0.065848678,0.08032503,0.073175997,0.031514272,0,0.024378138,0.7812711,0.919674993,0.724984109,0.187214643,0.08032503,0.25063774
Bandipore,Jammu & Kashmir,1,9,9,0.361821473,0.778444529,0.388201058,0.565504014,0.221555457,0.532338738,0.072674491,0,0.079460211,0.454905778,1,0.343868375,0.050650295,0,0.15558967,0.135923699,0,0.128032327,0.329616368,0,0.285210341,0.142559275,0,0.173974052,0,0,0.022378115,0.535230696,0.628740609,0.656783462,0.464769304,0.371259391,0.320838451
Srinagar,Jammu & Kashmir,1,10,10,0.377412468,0.575524926,0.354931206,0.554967403,0.395302564,0.645068824,0.067620113,0.029172514,0,0.395682782,0.346520036,0.703886688,0,0.02446246,0.296113312,0.124956936,0.052445933,0,0.351187736,0.521186054,0,0.196873009,0.220022067,0,0.073317751,0.031806808,0,0.661993802,0.517101109,0.703886688,0.264688432,0.451092094,0.296113312
Ganderbal,Jammu & Kashmir,1,11,11,0.331839681,0.049252931,0.47739774,0.643608868,0.950747073,0.52260226,0.024551453,0,0,0.144194305,0.090835042,0.323783338,0.035842191,0,0.022907931,0.075392626,0.090835042,0.101937972,0.65829289,0.727592349,0.401499093,0.302974075,0.371496648,0.176503971,0.032321956,0,0.091662288,0.766030014,0.909164965,0.729480326,0.201648012,0.090835042,0.178857356
