DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma_q1,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma_q1,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma_q1,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,h_glucose_all_ma_q2,hh_glucose_all_ma_q2,l_glucose_all_ma_q2,h_glucose_all_ma_q3,hh_glucose_all_ma_q3,l_glucose_all_ma_q3,h_glucose_all_ma_q4,hh_glucose_all_ma_q4,l_glucose_all_ma_q4,h_glucose_all_ma_q5,hh_glucose_all_ma_q5,l_glucose_all_ma_q5
Kupwara,Jammu & Kashmir,1,1,1,0.460799813,0.520203531,0.417226523,0.494056463,0.479796499,0.532584786,0.045143738,0,0.050188672,0.377938658,0.503732562,0.412807912,0.084584527,0,0.124573566,0.13208349,0.202379182,0.136381596,0.289847314,0.20094423,0.247867137,0.136773348,0.147302866,0.10963279,0.02102102,0.054358833,0.013480167,0.670827985,0.666309357,0.60767442,0.308151007,0.279331833,0.378845394,0.460799813,0.494056463,0.045143738,0.460799813,0.494056463,0.045143738,0.273248166,0.685929477,0.040822357,0.460799813,0.494056463,0.045143738
Badgam,Jammu & Kashmir,1,2,2,0.338701844,0.506616235,0.303592354,0.661298156,0.493383765,0.696407616,0,0,0,0.249882564,0.40123564,0.284844279,0.033729013,0,0.064687356,0.181624949,0.094781838,0.131492898,0.483590245,0.503982484,0.518975496,0.118953452,0,0.096642569,0.045506187,0,0.033350073,0.638586342,0.588165581,0.680846334,0.315907478,0.411834389,0.285803616,0.338701844,0.661298156,0,0.338701844,0.661298156,0,0.521756232,0.435001016,0.043242719,0.338701844,0.661298156,0
Leh (ladakh),Jammu & Kashmir,1,3,3,0.442177743,0.225008711,0.57644707,0.400402546,0.774991274,0.292349845,0.157419696,0,0.13120307,0.45182091,0.072384961,0.448125362,0,0,0,0,0.115376286,0,0.54817909,0.717407405,0.551874638,0.282817155,0.293435365,0.140694037,0,0.057257753,0,0.443233341,0.426476687,0.281388074,0.556766689,0.516265571,0.718611896,0.442177743,0.400402546,0.157419696,0.442177743,0.400402546,0.157419696,0.396678925,0.531306922,0.072014153,0.442177743,0.400402546,0.157419696
Kargil,Jammu & Kashmir,1,4,4,0.617234111,0.798393011,0.629137456,0.286735535,0.201607004,0.249694541,0.096030332,0,0.121168025,0.381513894,0.43625465,0.335037529,0.017634092,0,0.024445273,0.193288475,0.24525933,0.2124708,0.330168754,0.318486005,0.334557116,0.114291325,0.077068917,0.129576236,0.017570108,0,0.024356576,0.663355649,0.706484199,0.672136903,0.319074243,0.293515831,0.303506494,0.617234111,0.286735535,0.096030332,0.617234111,0.286735535,0.096030332,0.48151657,0.211325124,0.307158291,0.617234111,0.286735535,0.096030332
Punch,Jammu & Kashmir,1,5,5,0.419700354,1,0.416308671,0.486896396,0,0.484667003,0.09340325,0,0.099024318,0.336385071,0,0.313193381,0.020799883,0,0.024487544,0.077687606,0,0.091461025,0.448489159,1,0.4662745,0.171265662,0,0.168895915,0.027155384,0,0.021073941,0.530296922,0,0.548710644,0.442547679,1,0.430215389,0.419700354,0.486896396,0.09340325,0.419700354,0.486896396,0.09340325,0.431550473,0.511574209,0.0568753,0.419700354,0.486896396,0.09340325
Rajouri,Jammu & Kashmir,1,6,6,0.568776369,0.5,0.594859421,0.305399269,0.5,0.285889596,0.125824332,0,0.119250976,0.436437756,0,0.449540287,0.034878202,0,0.040162694,0.120519355,0,0.138779566,0.311584681,0.5,0.306267709,0.142727986,1,0.118389726,0.067533039,0.5,0.056023106,0.503285766,0.5,0.500055492,0.429181188,0,0.443921387,0.568776369,0.305399269,0.125824332,0.568776369,0.305399269,0.125824332,0.521524787,0.314153224,0.164322004,0.568776369,0.305399269,0.125824332
Kathua,Jammu & Kashmir,1,7,7,0.430660725,0.5,0.399121106,0.440471888,0.5,0.466092497,0.128867388,0,0.134786382,0.367612213,0.25,0.310802907,0.04749864,0,0.033447288,0.129493535,0.25,0.162288427,0.333959162,0.375,0.360679358,0.177005246,0.125,0.179643914,0.01979032,0.125,0,0.559583783,0.5,0.602051139,0.420625895,0.375,0.397948831,0.430660725,0.440471888,0.128867388,0.430660725,0.440471888,0.128867388,0.574868977,0.372606993,0.052524026,0.430660725,0.440471888,0.128867388
Baramula,Jammu & Kashmir,1,8,8,0.599549592,0.33115837,0.684919477,0.361424297,0.632496178,0.253053844,0.039026115,0.036345441,0.06202668,0.325738639,0.334127098,0.368397444,0.038455579,0,0.030782059,0.155100688,0.238063574,0.137526408,0.377978355,0.376667827,0.364204466,0.153388113,0.051141508,0.118689962,0.047059104,0,0.075337633,0.692178786,0.750319302,0.719310582,0.260762095,0.249680683,0.205351815,0.599549592,0.361424297,0.039026115,0.599549592,0.361424297,0.039026115,0.471131533,0.473528802,0.055339664,0.599549592,0.361424297,0.039026115
Bandipore,Jammu & Kashmir,1,9,9,0.368817329,0.308373153,0.394344568,0.574655294,0.691626847,0.523295581,0.056527343,0,0.08235985,0.451617479,0.517626822,0.483741641,0.124243349,0.029433003,0.172217607,0.147998005,0.164802864,0.139125124,0.279092252,0.220572516,0.211507216,0.053655289,0.067564815,0.039871037,0.098209515,0.067684926,0.092925243,0.59370023,0.578172147,0.614578545,0.30809027,0.354142934,0.292496234,0.368817329,0.574655294,0.056527343,0.368817329,0.574655294,0.056527343,0.361821473,0.565504014,0.072674491,0.368817329,0.574655294,0.056527343
Srinagar,Jammu & Kashmir,1,10,10,0.527198851,0.595274627,,0.236400574,0.303237766,,0.236400574,0.101487599,,0.763599455,0.310183406,,0,0,,0.118200287,0.236065552,,0.118200287,0.340478539,,0,0.11327251,,0,0.025798202,,0.354600847,0.729402363,,0.645399153,0.244799435,,0.527198851,0.236400574,0.236400574,0.527198851,0.236400574,0.236400574,0.377412468,0.554967403,0.067620113,0.527198851,0.236400574,0.236400574
