newId,oldId,Name,Description,Category,Type,Region
l_bmi_all_fe,anorexia_fe,Anorexia Female,% of females within unit of observation that classifies as Anorexic based on WHO standards,NCD,C,D
l_bmi_ur_fe,anorexia_ur_fe,Anorexia Urban Female,% of females within urban unit of observation that classifies as Anorexic based on WHO standards,NCD,C,D
l_bmi_ru_fe,anorexia_ru_fe,Anorexia Rural Female,% of females within rural unit of observation that classifies as Anorexic based on WHO standards,NCD,C,D
h_bmi_all_fe,hbmi_fe,Healthy BMI Female,% of females within unit of observation that classifies as healthy BMI based on WHO standards,NCD,C,D
h_bmi_ur_fe,hbmi_ur_fe,Healthy BMI Urban Female,% of females within urban unit of observation that classifies as healthy BMI based on WHO standards,NCD,C,D
h_bmi_ru_fe,hbmi_ru_fe,Healthy BMI Rural Female,% of females within rural unit of observation that classifies as healthy BMI based on WHO standards,NCD,C,D
hh_bmi_all_fe,overweight_fe,Overweight BMI Female,% of females within unit of observation that classifies as Overweight based on WHO standards,NCD,C,D
hh_bmi_ur_fe,overweight_ur_fe,Overweight BMI Urban Female,% of females within urban unit of observation that classifies as Overweight based on WHO standards,NCD,C,D
hh_bmi_ru_fe,overweight_ru_fe,Overweight BMI Rural Female,% of females within rural unit of observation that classifies as Overweight based on WHO standards,NCD,C,D
hhh_bmi_all_fe,obese_fe,Obese BMI Female,% of females within unit of observation that classifies as Obese based on WHO standards,NCD,C,D
hhh_bmi_ur_fe,obese_ur_fe,Obese Urban Female,% of females within urban unit of observation that classifies as Obese based on WHO standards,NCD,C,D
hhh_bmi_ru_fe,obese_ru_fe,Obese Urban Female,% of females within rural unit of observation that classifies as Obese based on WHO standards,NCD,C,D
h_hemoglobin_all_fe,hhemoglobin_fe,Healthy Hemoglobin Female,% of females within unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_ur_fe,hhemoglobin_ur_fe,Healthy Hemoglobin Urban Female,% of females within urban unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_ru_fe,hhemoglobin_ru_fe,Healthy Hemoglobin Rural Female,% of females within rural unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
l_hemoglobin_all_fe,anemia_fe,Anemia Female,% of females within unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_hemoglobin_ur_fe,anemia_ur_fe,Anemia Urban Female,% of females within urban unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_hemoglobin_ru_fe,anemia_ru_fe,Anemia Rural Female,% of females within rural unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
hh_hemoglobin_all_fe,highhemoglobin_fe,High Hemoglobin Female,% of females within unit of observation that classifies as High Hemoglobin based on NIH standards,NCD,C,D
hh_hemoglobin_ur_fe,highhemoglobin_ur_fe,High Hemoglobin Urban Female,% of females within urban unit of observation that classifies as High Hemoglobin based on NIH standards,NCD,C,D
hh_hemoglobin_ru_fe,highhemoglobin_ru_fe,High Hemolgobin Rural Female,% of females within rural unit of observation that classifies as High Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_all_pw,hhemoglobin_pw,Healthy Hemoglobin Pregnant Woman,% of pregnant womens within unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_ur_pw,hhemoglobin_ur_pw,Healthy Hemoglobin Urban Pregnant Woman,% of pregnant womens within urban unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_ru_pw,hhemoglobin_ru_pw,Healthy Hemoglobin Rural Pregnant Woman,% of pregnant womens within rural unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
l_hemoglobin_all_pw,anemia_pw,Anemia Pregnant Woman,% of pregnant womens within unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_hemoglobin_ur_pw,anemia_ur_pw,Anemia Urban Pregnant Woman,% of pregnant womens within urban unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_hemoglobin_ru_pw,anemia_ru_pw,Anemia Rural Pregnant Woman,% of pregnant womens within rural unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
hh_hemoglobin_all_pw,highhemoglobin_pw,High Hemoglobin Pregnant Woman,% of pregnant womens within unit of observation that classifies as High Hemoglobin based on NIH standards,NCD,C,D
hh_hemoglobin_ur_pw,highhemoglobin_ur_pw,High Hemoglobin Urban Pregnant Woman,% of pregnant womens within urban unit of observation that classifies as High Hemoglobin based on NIH standards,NCD,C,D
hh_hemoglobin_ru_pw,highhemoglobin_ru_pw,High Hemoglobin Rural Pregnant Woman,% of pregnant womens within rural unit of observation that classifies as High Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_all_npw,hhemoglobin_npw,Healthy Hemoglobin Non-Pregnant Woman,% of non-pregnant womens within unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_ur_npw,hhemoglobin_ur_npw,Healthy Hemoglobin Urban Non-Pregnant Woman,% of non-pregnant womens within urban unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
h_hemoglobin_ru_npw,hhemoglobin_ru_npw,Healthy Hemoglobin Rural Non-Pregnant Woman,% of non-pregnant womens within rural unit of observation that classifies as Healthy Hemoglobin based on NIH standards,NCD,C,D
l_hemoglobin_all_npw,anemia_npw,Anemia Non-Pregnant Woman,% of non-pregnant womens within unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_hemoglobin_ur_npw,anemia_ur_npw,Anemia Urban Non-Pregnant Woman,% of non-pregnant womens within urban unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_hemoglobin_ru_npw,anemia_ru_npw,Anemia Rural Non-Pregnant Woman,% of non-pregnant womens within rural unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
