ST_NM,ST_CEN_CD,anorexia_all_fe,anorexia_ur_fe,anorexia_ru_fe,h_bmi_all_fe,h_bmi_ur_fe,h_bmi_ru_fe,overweight_all_fe,overweight_ur_fe,overweight_ru_fe,obese_all_fe,obese_ur_fe,obese_ru_fe,h_hemoglobin_all_fe,h_hemoglobin_ur_fe,h_hemoglobin_ru_fe,anemia_all_fe,anemia_ur_fe,anemia_ru_fe,high_hemoglobin_all_fe,high_hemoglobin_ur_fe,high_hemoglobin_ru_fe,h_hemoglobin_all_pw,h_hemoglobin_ur_pw,h_hemoglobin_ru_pw,anemia_all_pw,anemia_ur_pw,anemia_ru_pw,high_hemoglobin_all_pw,high_hemoglobin_ur_pw,high_hemoglobin_ru_pw,h_hemoglobin_all_npw,h_hemoglobin_ur_npw,h_hemoglobin_ru_npw,anemia_all_npw,anemia_ur_npw,anemia_ru_npw,high_hemoglobin_all_npw,high_hemoglobin_ur_npw,high_hemoglobin_ru_npw,h_glucose_all_fe,h_glucose_ur_fe,h_glucose_ru_fe,high_glucose_all_fe,high_glucose_ur_fe,high_glucose_ru_fe,low_glucose_all_fe,low_glucose_ur_fe,low_glucose_ru_fe,h_bp_all_fe,h_bp_ur_fe,h_bp_ru_fe,low_bp_all_fe,low_bp_ur_fe,low_bp_ru_fe,elevated_bp_all_fe,elevated_bp_ur_fe,elevated_bp_ru_fe,high_bp_all_fe,high_bp_ur_fe,high_bp_ru_fe,severe_bp_all_fe,severe_bp_ur_fe,severe_bp_ru_fe,high_cuffbp_all_fe,high_cuffbp_ur_fe,high_cuffbp_ru_fe,h_cuffbp_all_fe,h_cuffbp_ur_fe,h_cuffbp_ru_fe,low_cuffbp_all_fe,low_cuffbp_ur_fe,low_cuffbp_ru_fe,sum_bp_all_fe,h_ad_bp_all_fe,low_ad_bp_all_fe,elevated_ad_bp_all_fe,high_ad_bp_all_fe,severe_ad_bp_all_fe,sum_bp_ur_fe,h_ad_bp_ur_fe,low_ad_bp_ur_fe,elevated_ad_bp_ur_fe,high_ad_bp_ur_fe,severe_ad_bp_ur_fe,sum_bp_ru_fe,h_ad_bp_ru_fe,low_ad_bp_ru_fe,elevated_ad_bp_ru_fe,high_ad_bp_ru_fe,severe_ad_bp_ru_fe,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,high_glucose_all_ma,high_glucose_ur_ma,high_glucose_ru_ma,low_glucose_all_ma,low_glucose_ur_ma,low_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,low_bp_all_ma,low_bp_ur_ma,low_bp_ru_ma,elevated_bp_all_ma,elevated_bp_ur_ma,elevated_bp_ru_ma,high_bp_all_ma,high_bp_ur_ma,high_bp_ru_ma,severe_bp_all_ma,severe_bp_ur_ma,severe_bp_ru_ma,high_cuffbp_all_ma,high_cuffbp_ur_ma,high_cuffbp_ru_ma,h_cuffbp_all_ma,h_cuffbp_ur_ma,h_cuffbp_ru_ma,low_cuffbp_all_ma,low_cuffbp_ur_ma,low_cuffbp_ru_ma,sum_bp_all_ma,h_ad_bp_all_ma,low_ad_bp_all_ma,elevated_ad_bp_all_ma,high_ad_bp_all_ma,severe_ad_bp_all_ma,sum_bp_ur_ma,h_ad_bp_ur_ma,low_ad_bp_ur_ma,elevated_ad_bp_ur_ma,high_ad_bp_ur_ma,severe_ad_bp_ur_ma,sum_bp_ru_ma,h_ad_bp_ru_ma,low_ad_bp_ru_ma,elevated_ad_bp_ru_ma,high_ad_bp_ru_ma,severe_ad_bp_ru_ma
Jammu & Kashmir,1,0.116723254,0.072460771,0.135593355,0.581195056,0.510429978,0.611363828,0.214337826,0.296439558,0.179335982,0.087743893,0.120669723,0.073706858,0.467745781,0.444517106,0.477616638,0.526942372,0.548617542,0.517731607,0.005311876,0.006865387,0.004651721,0.305221438,0.395944327,0.270319402,0.694778562,0.604055703,0.729680598,0,0,0,0.475010037,0.446533531,0.487163693,0.519440651,0.546316087,0.507970333,0.005549298,0.007150393,0.004865956,0.757203102,0.759094477,0.756399035,0.167359442,0.181918085,0.16117017,0.075437456,0.05898742,0.082430817,0.45796895,0.450646907,0.461018711,0.036379218,0.030560469,0.03880284,0.094676703,0.088363931,0.097306103,0.327788144,0.340836525,0.322353214,0.125290483,0.143863887,0.1175543,0.031715732,0.031016294,0.032007065,0.461150557,0.477978289,0.454141468,0.507133722,0.491005421,0.513851464,1.042103529,0.43946588,0.034909409,0.09085153,0.314544708,0.12022844,1.054271698,0.427448541,0.028987281,0.083815143,0.323290974,0.136458069,1.037035227,0.444554538,0.037417088,0.093831047,0.310841143,0.113356128,0.444009066,0.433600068,0.449084878,0.479355395,0.500540853,0.469024628,0.076635525,0.065859087,0.081890509,0.335124463,0.333432198,0.335916758,0.02661984,0.012471857,0.033243611,0.139008656,0.123785719,0.146135688,0.404907852,0.424053699,0.395944208,0.164793581,0.179168805,0.158063427,0.04881572,0.044855785,0.05066967,0.61317277,0.624100983,0.608056366,0.338011533,0.331043214,0.341273963,1.070454359,0.313067496,0.024867795,0.129859492,0.37825793,0.153947324,1.072912335,0.310773015,0.011624303,0.115373567,0.395236105,0.166992962,1.069303751,0.314145297,0.031089025,0.136664331,0.370282263,0.147819012
Himachal Pradesh,2,0.15527311,0.11106091,0.159982786,0.543301761,0.48835668,0.549154758,0.212189227,0.266252846,0.206430137,0.089235894,0.134329543,0.084432326,0.425933033,0.415685713,0.426989943,0.573051572,0.58353287,0.571970522,0.0010154,0.000781428,0.001039532,0.215440869,0.175493822,0.219541937,0.784559131,0.824506164,0.780458093,0,0,0,0.433206499,0.423949331,0.434161425,0.565743029,0.575242341,0.564763129,0.001050486,0.000808312,0.001075468,0.649884582,0.626961112,0.652248442,0.275147676,0.308672726,0.271690547,0.074967742,0.064366139,0.076060981,0.487517565,0.498258114,0.486406803,0.023829576,0.018223055,0.024409389,0.046737012,0.049076125,0.046495106,0.354516,0.34868747,0.355118781,0.12751995,0.118828312,0.128418818,0.019068001,0.017370826,0.01924352,0.292076498,0.247266889,0.29671061,0.688855469,0.735362291,0.684045851,1.040120125,0.468712747,0.022910407,0.044934243,0.340841413,0.122601174,1.033073068,0.482306749,0.017639657,0.047504988,0.337524503,0.115024112,1.040848851,0.467317432,0.023451425,0.044670373,0.341181904,0.123378932,0.428141236,0.430933654,0.427601099,0.483036727,0.508823276,0.478048623,0.088822044,0.060243078,0.094350278,0.257092237,0.248999193,0.258533359,0.005271861,0.011994289,0.004074793,0.098277427,0.075064667,0.102410942,0.49413389,0.533577979,0.487110049,0.25099501,0.225051463,0.255614787,0.039184228,0.037908699,0.039411359,0.55877322,0.49403432,0.570301294,0.402042568,0.468056977,0.39028734,1.105770469,0.232500553,0.004767591,0.088876881,0.44686842,0.226986542,1.094687581,0.227461427,0.010956815,0.068571769,0.48742488,0.205585107,1.107743979,0.233387291,0.003678461,0.092450008,0.439731628,0.230752587
Punjab,3,0.114718094,0.088078402,0.132190064,0.570408523,0.585990489,0.56018889,0.217185184,0.222105533,0.213958129,0.097688191,0.103825577,0.09366291,0.425446957,0.438222468,0.417102247,0.573087811,0.560507417,0.581305027,0.00146523,0.001270094,0.001592689,0.315763235,0.352670044,0.293389469,0.681018651,0.645846844,0.702340543,0.003218145,0.001483104,0.004269965,0.429768711,0.441436857,0.422125071,0.568835139,0.557301044,0.576390922,0.001396162,0.001262091,0.00148399,0.678672314,0.699652255,0.66496557,0.262489468,0.24248977,0.27555573,0.058838241,0.05785796,0.059478682,0.421168149,0.434415281,0.41251722,0.019991947,0.020980224,0.019346563,0.082564622,0.086240582,0.080164075,0.385989755,0.37638557,0.392261684,0.142958641,0.132275879,0.149934918,0.027172852,0.023920802,0.029296573,0.449365526,0.446463704,0.451260537,0.52346164,0.529615521,0.519442916,1.052673101,0.400093973,0.018991601,0.078433298,0.366675794,0.135805354,1.050297499,0.41361165,0.019975506,0.082110621,0.358360916,0.125941351,1.054224491,0.391299218,0.018351464,0.076040804,0.372085541,0.142222956,0.331513077,0.326474786,0.334860474,0.600924969,0.610779226,0.594377875,0.067561969,0.062745973,0.070761658,0.201526508,0.191902816,0.207905903,0.014997069,0.009093454,0.018910475,0.142648876,0.137445197,0.146098301,0.499216735,0.53745538,0.473868966,0.254059911,0.242747933,0.261558443,0.054545943,0.053332005,0.055350643,0.675197363,0.664642572,0.682193935,0.270256698,0.282025427,0.262455404,1.11244905,0.181155726,0.013481129,0.128229588,0.448754698,0.228378922,1.118644834,0.171549365,0.008128991,0.122867592,0.48045221,0.217001796,1.108342052,0.187582791,0.017061949,0.131816983,0.427547574,0.235990718
Chandigarh,4,0.116352193,0.107985474,0.333333343,0.411301047,0.410451502,0.433333337,0.233702168,0.241428316,0.033333335,0.238644585,0.240134716,0.200000003,0.215070322,0.221777707,0.03846154,0.783483386,0.77672112,0.961538434,0.001446266,0.001501193,0,0.061357509,0.061357509,NA,0.938642502,0.938642502,NA,0,0,NA,0.219145626,0.226196826,0.03846154,0.779369771,0.772260606,0.961538434,0.00148461,0.001542547,0,0.69376117,0.686512768,0.884615362,0.181742489,0.184262678,0.115384616,0.124496363,0.129224584,0,0.555809796,0.553554177,0.615384638,0.057804186,0.055624042,0.115384616,0.030129008,0.03126977,0,0.290843099,0.293117642,0.230769232,0.099193469,0.100036688,0.07692308,0.019313714,0.020044981,0,0.239457488,0.241242692,0.192307696,0.741228819,0.738712311,0.807692289,1.033779502,0.53764832,0.055915393,0.02914452,0.281339586,0.09595225,1.033602357,0.535558164,0.053815708,0.030253192,0.283588409,0.096784502,1.038461566,0.592592597,0.111111112,0,0.222222224,0.074074075,0.442258626,0.442046344,0.444444448,0.446701169,0.436130345,0.555555582,0.111040212,0.121823311,0,0.403905183,0.400009841,0.444444448,0.043801799,0.037334148,0.111111112,0.075349763,0.071913511,0.111111112,0.358073801,0.371127576,0.222222224,0.17656672,0.182856262,0.111111112,0.025673445,0.028140368,0,0.457780421,0.480414867,0.222222224,0.51654613,0.491444767,0.777777791,1.057697296,0.381872177,0.041412417,0.071239442,0.338540912,0.166935027,1.063241363,0.376217335,0.035113521,0.06763611,0.349052995,0.171980008,1,0.444444448,0.111111112,0.111111112,0.222222224,0.111111112
Uttarakhand,5,0.177386165,0.150040984,0.193058595,0.602181196,0.546164453,0.634286225,0.151877731,0.203980148,0.122016117,0.068554908,0.099814422,0.050639048,0.509439111,0.528353691,0.498767108,0.488487303,0.470075995,0.49887532,0.002073603,0.00157033,0.002357559,0.259306699,0.264802605,0.256376147,0.740693271,0.735197365,0.743623853,0,0,0,0.519970953,0.53903687,0.509188235,0.47786811,0.459329128,0.488352865,0.002160912,0.001633985,0.002458917,0.684435844,0.68032378,0.686753929,0.259081364,0.262203425,0.257321328,0.056482822,0.057472777,0.055924751,0.527122498,0.518519819,0.531984448,0.029468419,0.028803229,0.02984436,0.06322512,0.053798616,0.068552643,0.311827809,0.321220607,0.306519747,0.099382266,0.109631993,0.093589485,0.017113201,0.017361712,0.016972752,0.337166667,0.317982197,0.34800905,0.645720124,0.664656103,0.635018229,1.031026125,0.511260092,0.028581642,0.061322521,0.30244413,0.096391611,1.031974316,0.502454162,0.027910801,0.052131739,0.311268032,0.106235199,1.030490637,0.516243815,0.028961312,0.066524275,0.297450304,0.090820313,0.357277334,0.338411331,0.370008975,0.565708339,0.57739687,0.55782038,0.077014349,0.084191822,0.072170675,0.27700913,0.233754247,0.306207329,0.020930951,0.021528346,0.020527696,0.113869973,0.107553899,0.118133493,0.471745044,0.492854923,0.457495302,0.207333833,0.252689719,0.176717386,0.028309215,0.027908737,0.028579546,0.576451898,0.581705093,0.572905838,0.395238906,0.390386164,0.398514628,1.090888977,0.253929704,0.019187059,0.104382731,0.432440937,0.190059513,1.108381152,0.210896984,0.019423233,0.097036928,0.444661945,0.227980882,1.079081178,0.283766717,0.01902331,0.109476,0.423967451,0.163766533
Haryana,6,0.152856529,0.118717104,0.175380841,0.629009426,0.625154495,0.631552815,0.155900598,0.176307425,0.142436713,0.062233415,0.079820953,0.050629616,0.340726495,0.359688729,0.32835418,0.658631206,0.640192509,0.670661867,0.000642334,0.000118751,0.000983956,0.202877134,0.229641214,0.185883939,0.797122836,0.770358801,0.814116061,0,0,0,0.348833263,0.367203623,0.336827964,0.650486648,0.63267076,0.662129581,0.000680109,0.000125614,0.001042479,0.718788922,0.740343273,0.704728305,0.234477431,0.220540211,0.243569165,0.046733629,0.039116509,0.051702544,0.469777882,0.450835705,0.481969684,0.023137787,0.025265226,0.021768497,0.093998343,0.092445716,0.094997674,0.351116776,0.361517191,0.344422728,0.099610731,0.11228554,0.091452807,0.022501355,0.024727561,0.021068497,0.455590218,0.446211845,0.46162647,0.521908402,0.529060602,0.517305017,1.037641525,0.452736199,0.02229844,0.090588458,0.338379651,0.095997252,1.042349339,0.43251881,0.024238732,0.088689767,0.346829206,0.107723519,1.034611344,0.465846121,0.021040265,0.091819674,0.332900584,0.08839339,0.376004726,0.390657783,0.365317255,0.581067324,0.562554598,0.594569981,0.042927928,0.046787638,0.040112775,0.227697849,0.202046201,0.246468619,0.009018857,0.010018504,0.008287358,0.126959026,0.107254185,0.141378164,0.533043504,0.568515062,0.507086992,0.20062089,0.200104445,0.200998813,0.042699169,0.038889706,0.045486771,0.64505738,0.656708598,0.636531591,0.312243432,0.304401726,0.31798166,1.097340107,0.207499802,0.008218835,0.115697064,0.485759616,0.182824716,1.087938428,0.185714737,0.009208705,0.098584794,0.522561789,0.183929935,1.104219913,0.223206103,0.00750517,0.128034428,0.459226459,0.182027876
Delhi,7,0.117434919,0.117383994,0.123806529,0.43315196,0.432583064,0.50432688,0.185496643,0.185471147,0.188686788,0.263916463,0.264561772,0.183179811,0.413781196,0.415401399,0.220062643,0.585381985,0.583754778,0.779937327,0.000836828,0.000843827,0,0.157284141,0.157284141,NA,0.842715859,0.842715859,NA,0,0,NA,0.425968915,0.427773595,0.220062643,0.573154509,0.571342111,0.779937327,0.000876591,0.000884274,0,0.694796383,0.695468843,0.614600003,0.208887279,0.208336145,0.274613678,0.096316367,0.096195035,0.110786334,0.615347207,0.614962757,0.659471393,0.100820184,0.100418516,0.146917045,0.022967143,0.022903267,0.030297754,0.211653411,0.212074623,0.163313806,0.071266614,0.071887612,0,0.016848734,0.016995547,0,0.145975441,0.145333514,0.219644144,0.837175846,0.837670922,0.780355871,1.022054553,0.602068841,0.098644622,0.022471543,0.20708622,0.069728777,1.022246718,0.601579607,0.098233148,0.022404833,0.207459331,0.070323154,1,0.659471393,0.146917045,0.030297754,0.163313806,0,0.384082168,0.38616398,0.099979118,0.524727404,0.521977365,0.900020897,0.091190442,0.091858655,0,0.542752445,0.546642363,0.099979118,0.049225915,0.049658377,0,0.080376096,0.081082217,0,0.291914999,0.286572635,0.900020897,0.068881847,0.069486991,0,0.017763715,0.017919773,0,0.413509607,0.413188934,0.450010449,0.568726659,0.568891287,0.549989581,1.033151269,0.525336862,0.047646377,0.077797025,0.282548159,0.066671602,1.033442616,0.528952777,0.048051413,0.078458361,0.277299017,0.067238361,1,0.099979118,0,0,0.900020897,0
Rajasthan,8,0.261495143,0.181021869,0.289381146,0.590649724,0.572598755,0.596904814,0.104581282,0.162865564,0.084384307,0.043273874,0.083513841,0.029329712,0.492576331,0.55927068,0.469587862,0.505076587,0.438223034,0.528119922,0.002347072,0.002506253,0.002292205,0.264649361,0.342896402,0.244543642,0.734650314,0.657103598,0.754576027,0.000700367,0,0.000880327,0.504303992,0.568057954,0.48202005,0.493264228,0.429334044,0.515609741,0.002431801,0.002608035,0.002370202,0.681410193,0.708003938,0.672241092,0.218836546,0.195052564,0.227036878,0.099753276,0.096943527,0.10072203,0.547434866,0.548251808,0.54715246,0.032685317,0.02677455,0.034728579,0.080559574,0.065883748,0.085632794,0.288163602,0.29621467,0.285380453,0.075898975,0.090610407,0.070813455,0.015363775,0.014463439,0.015675008,0.399307966,0.354728013,0.414718598,0.585328221,0.630808532,0.569606364,1.024742365,0.53421706,0.031896133,0.078614466,0.281205893,0.074066401,1.027735233,0.533456266,0.026051993,0.064105757,0.288220793,0.088165127,1.023707747,0.534481108,0.033924311,0.08364965,0.2787714,0.069173507,0.419914901,0.451304108,0.407398522,0.490862072,0.455597878,0.504923582,0.089223027,0.093098029,0.087677881,0.362099826,0.355848193,0.364584178,0.014929622,0.009704924,0.017005876,0.127912372,0.115169391,0.132976338,0.415388137,0.422742218,0.412465692,0.142565802,0.161367059,0.135094345,0.031866446,0.033365436,0.031270757,0.571515858,0.540291131,0.583924294,0.396617711,0.426343441,0.384804934,1.062895775,0.34067294,0.014046177,0.12034329,0.390807956,0.134129614,1.064831734,0.33418256,0.009114045,0.108157359,0.39700377,0.151542306,1.062126398,0.343258739,0.01601116,0.12519823,0.388339549,0.127192348
Uttar Pradesh,9,0.242595196,0.169099361,0.26891458,0.584232807,0.54881984,0.59691447,0.124182656,0.189244196,0.10088367,0.048989337,0.092836618,0.03328732,0.436370522,0.436631143,0.436277866,0.562183142,0.562004209,0.56224674,0.001446362,0.001364631,0.001475422,0.237018719,0.260478318,0.230831608,0.7623384,0.739521682,0.768355966,0.000642885,0,0.000812436,0.448269039,0.444895864,0.449488282,0.550236642,0.553675473,0.548993647,0.001494319,0.001428656,0.001518052,0.650297582,0.666541696,0.644521654,0.249886006,0.246614695,0.251049191,0.099816404,0.086843617,0.104429141,0.56379962,0.561871707,0.56448859,0.028422782,0.028914548,0.02824704,0.059994806,0.048805658,0.063993454,0.292217672,0.300102204,0.289400011,0.082300447,0.089522369,0.079719558,0.01512902,0.013777035,0.015612177,0.350191981,0.305904865,0.366018772,0.634679019,0.680318058,0.618369043,1.026735306,0.549118757,0.027682677,0.058432594,0.284608573,0.080157414,1.029216528,0.545921743,0.028093746,0.047420204,0.291583151,0.08698108,1.025848627,0.550265014,0.02753529,0.062380992,0.282107919,0.077710837,0.390429199,0.401877284,0.385424763,0.512032926,0.515202165,0.510647535,0.097537853,0.082920529,0.103927664,0.405404896,0.355695456,0.427290946,0.028018767,0.019829446,0.031624358,0.119645193,0.109321803,0.124190375,0.379218131,0.432348788,0.355825782,0.119815148,0.147464812,0.107641555,0.024822412,0.026041649,0.024285605,0.541661382,0.512545109,0.554480672,0.433516234,0.461413264,0.421233743,1.052102089,0.385328472,0.026631225,0.113720134,0.360438526,0.113881677,1.064660311,0.334092915,0.018625138,0.10268233,0.406090826,0.138508797,1.046573043,0.40827629,0.030217057,0.11866384,0.339991361,0.10285145
Bihar,10,0.289527297,0.215477929,0.301024914,0.583082318,0.545306683,0.588947713,0.090512082,0.172162533,0.077834241,0.036878303,0.067052834,0.032193113,0.350027353,0.375243962,0.346099049,0.649291575,0.624103427,0.653215408,0.000681109,0.000652639,0.000685545,0.166115746,0.187491059,0.163983613,0.833112061,0.812508941,0.83516711,0.000772217,0,0.000849243,0.364551038,0.384970218,0.361274749,0.634775043,0.614343345,0.638053358,0.000673914,0.000686448,0.000671903,0.667070866,0.676825583,0.665550947,0.209089503,0.201816216,0.210222781,0.123839632,0.121358216,0.124226265,0.608997643,0.616625369,0.60780108,0.046212409,0.046383221,0.046185613,0.056182437,0.053672276,0.056576211,0.241463184,0.241489202,0.241459101,0.064436905,0.061171003,0.064949237,0.016189685,0.014913734,0.016389847,0.3197622,0.300081342,0.322849572,0.664048135,0.68500489,0.660760581,1.017292619,0.598645508,0.04542686,0.05522741,0.23735863,0.063341565,1.019341111,0.604925454,0.045503139,0.05265389,0.236907154,0.060010336,1.016971231,0.597658098,0.045414865,0.055632066,0.237429634,0.063865364,0.403988868,0.396991014,0.405575216,0.479385614,0.49527508,0.475783676,0.11662551,0.10773389,0.118641131,0.441577047,0.383903474,0.454749912,0.032090243,0.018234843,0.03525487,0.115786515,0.118767418,0.115105666,0.346154869,0.391836017,0.335721135,0.11246787,0.146578282,0.104676925,0.026695192,0.032754656,0.025311189,0.520363212,0.501347244,0.524706483,0.452941626,0.465898097,0.449982315,1.04807651,0.421321392,0.030618226,0.11047525,0.33027634,0.107308835,1.059320092,0.362405539,0.017213725,0.11211665,0.369893879,0.138370156,1.045508504,0.434955716,0.033720307,0.110095389,0.321107984,0.100120589
