ST_NM,ST_CEN_CD,p_cancer_all_fe,p_cancer_ur_fe,p_cancer_ru_fe,t_cancer_all_fe,t_cancer_ur_fe,t_cancer_ru_fe,dk_cancer_all_fe,dk_cancer_ur_fe,dk_cancer_ru_fe,p_asthma_all_fe,p_asthma_ur_fe,p_asthma_ru_fe,t_asthma_all_fe,t_asthma_ur_fe,t_asthma_ru_fe,dk_asthma_all_fe,dk_asthma_ur_fe,dk_asthma_ru_fe,p_diabetes_all_fe,p_diabetes_ur_fe,p_diabetes_ru_fe,t_diabetes_all_fe,t_diabetes_ur_fe,t_diabetes_ru_fe,dk_diabetes_all_fe,dk_diabetes_ur_fe,dk_diabetes_ru_fe,p_thyroid_all_fe,p_thyroid_ur_fe,p_thyroid_ru_fe,t_thyroid_all_fe,t_thyroid_ur_fe,t_thyroid_ru_fe,dk_thyroid,dk_thyroid_ur,dk_thyroid_ru,p_heart_all_fe,p_heart_ur_fe,p_heart_ru_fe,t_heart_all_fe,t_heart_ur_fe,t_heart_ru_fe,dk_heart_all_fe,dk_heart_ur_fe,dk_heart_ru_fe,state,p_cancer_all_ma,p_cancer_ur_ma,p_cancer_ru_ma,t_cancer_all_ma,t_cancer_ur_ma,t_cancer_ru_ma,dk_cancer_all_ma,dk_cancer_ur_ma,dk_cancer_ru_ma,p_asthma_all_ma,p_asthma_ur_ma,p_asthma_ru_ma,t_asthma_all_ma,t_asthma_ur_ma,t_asthma_ru_ma,dk_asthma_all_ma,dk_asthma_ur_ma,dk_asthma_ru_ma,p_diabetes_all_ma,p_diabetes_ur_ma,p_diabetes_ru_ma,t_diabetes_all_ma,t_diabetes_ur_ma,t_diabetes_ru_ma,dk_diabetes_all_ma,dk_diabetes_ur_ma,dk_diabetes_ru_ma,p_thyroid_all_ma,p_thyroid_ur_ma,p_thyroid_ru_ma,t_thyroid_all_ma,t_thyroid_ur_ma,t_thyroid_ru_ma,dk_thyroid,dk_thyroid_ur,dk_thyroid_ru,p_heart_all_ma,p_heart_ur_ma,p_heart_ru_ma,t_heart_all_ma,t_heart_ur_ma,t_heart_ru_ma,dk_heart_all_ma,dk_heart_ur_ma,dk_heart_ru_ma
Jammu & Kashmir,1,0.001181914,0.001516779,0.00103917,0.480966896,0.626395047,0.390483201,0.000319051,0.000403515,0.000283043,0.008914439,0.007450414,0.009539247,0.57652235,0.736146927,0.523315847,0.00144022,0.00069886,0.001756279,0.019405091,0.027317274,0.016020522,0.798459172,0.820119262,0.782660246,0.007747289,0.005393395,0.008750807,0.070666946,0.116628304,0.0510878,0.922697365,0.95646292,0.889860511,0.007816128,0.008356687,0.007585676,0.045308601,0.047359444,0.044433326,0.330272257,0.241127029,0.399738193,0.00116823,0.000403515,0.001494245,1,0.000800413,0,0.001198901,0.478504568,NA,0.478504568,0.000498045,0.000134075,0.000679149,0.014067197,0.012228944,0.014983044,0.733724236,0.723052263,0.738063812,0.000851185,0,0.001274718,0.033754833,0.041226253,0.030032096,0.774804294,0.809283495,0.751220942,0.004091602,0.00317952,0.004545437,0.018964248,0.026132395,0.015393939,0.858215213,0.876596808,0.842673063,0.000803,0.000134075,0.001135844,0.026197443,0.027458288,0.025569333,0.575900078,0.558437705,0.588255405,0.000918439,0.000134075,0.001308724
Himachal Pradesh,2,0.000951371,0.001834744,0.000856339,0.894114971,0.434725046,1,0.013070321,0.004256773,0.014009179,0.010464596,0.008719618,0.010652284,0.643930972,0.54394573,0.65273416,0.015335823,0.006699668,0.016255785,0.017067716,0.020600863,0.016701501,0.790519714,0.790705383,0.790495992,0.042021483,0.065434143,0.039527465,0.027601887,0.060118858,0.024255341,0.913552344,0.976128936,0.897589803,0.023818655,0.053792685,0.02062569,0.009548526,0.006244308,0.00990161,0.219193548,0.076695748,0.249807715,0.015485337,0.012692802,0.015782811,2,0.002877303,0.005092257,0.002439599,1,1,1,0.003967984,0,0.004748388,0.007680259,0.001902989,0.008825153,0.56194675,1,0.543227732,0.006312106,0,0.00755354,0.014121191,0.024033701,0.012161649,0.684030294,0.73925513,0.662456155,0.014172208,0.009951333,0.01500235,0.003755358,0.005092257,0.003490724,0.599202037,0,0.772229493,0.005364992,0,0.006420153,0.008018267,0.008640588,0.00789541,0.726413071,0.628659368,0.751665294,0.00541772,0.002277229,0.006035377
Punjab,3,0.001173944,0.001120578,0.001208946,0.714528739,0.828242958,0.645394027,4.68698E-05,0,7.761E-05,0.012709814,0.012360314,0.012939063,0.869851828,0.877272844,0.865201831,0.000166407,0.00010321,0.000207855,0.017034011,0.018454397,0.01610169,0.913107514,0.897603214,0.924771369,0.002409175,0.001928542,0.002724403,0.026802788,0.034330841,0.021869557,0.922898293,0.950317085,0.894692302,0.00067922,0.001184857,0.000347593,0.01499593,0.013309749,0.016101835,0.321510851,0.252801299,0.381915897,7.66168E-05,7.51024E-05,7.761E-05,3,0,0,0,NA,NA,NA,0,0,0,0.007086698,0.010672053,0.004683349,0.923085511,1,0.805599988,0,0,0,0.016151452,0.016433313,0.015962258,0.837212384,0.98895365,0.732353866,0.000805033,0,0.001344666,0.001784382,0.001438742,0.002016072,0.862487495,0.873828888,0.857062161,0,0,0,0.006468838,0.006603475,0.006378587,0.679448605,0.762592316,0.614938796,0,0,0
Chandigarh,4,0.00126281,0.001311503,0,1,1,NA,0,0,0,0.013544642,0.01406756,0,0.596428752,0.596428752,NA,0.001180416,0.001225932,0,0.022806617,0.023689523,0,0.855521619,0.855521619,NA,0.003807499,0.003954315,0,0.062052757,0.064462699,0,0.890571773,0.890571773,NA,0.006874896,0.007139989,0,0.005685429,0.004614624,0.033333335,0.084136687,0.066975832,1,0.004235602,0.004398925,0,4,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.015075852,0.016414545,0,1,1,NA,0,0,0,0.007792135,0.008484054,0,1,1,NA,0,0,0,0.017258734,0.018791262,0,1,1,NA,0,0,0
Uttarakhand,5,0.000944572,0.000788251,0.001034077,0.785792232,1,0.692299008,0.001263594,0.001880275,0.000910154,0.009842348,0.010220493,0.009625733,0.787265003,0.87493521,0.733941257,0.000993618,0.001321815,0.000805517,0.013913305,0.019298416,0.010824076,0.756058335,0.744333446,0.768050373,0.006355206,0.005773586,0.006688551,0.016033458,0.026141476,0.010245357,0.884623826,0.924736559,0.826016009,0.001479236,0.002042389,0.001156475,0.008985317,0.009429075,0.008730962,0.289202362,0.235365987,0.356584191,0.001070501,0.001011415,0.001104365,5,0,0,0,NA,NA,NA,0.002534021,0.005477837,0.000525337,0.009287083,0.007708027,0.010364536,0.559316039,0.720307469,0.477620721,0,0,0,0.009066553,0.015079813,0.004980139,0.880059421,0.932859659,0.771411121,0.002854984,0.005267606,0.001208756,0.001059928,0.001817298,0.00054267,1,1,1,0.000544981,0,0.000916843,0.015271913,0.015621016,0.015033707,0.906524658,0.870571971,0.942839742,0,0,0
Haryana,6,0.001772292,0.001566833,0.001907891,0.962485015,1,0.942151904,0.000187869,0,0.00031182,0.013547905,0.009524027,0.016202448,0.739601016,0.681762516,0.762029648,0.000392524,0.000461813,0.000346809,0.011266626,0.011688785,0.010988018,0.650756359,0.756672084,0.576398015,0.000422344,0.000250249,0.000535887,0.021647988,0.02373983,0.020267386,0.74882412,0.79401356,0.71388948,0.000379572,0.000179866,0.000511332,0.01072437,0.012376674,0.00963427,0.295176595,0.299922109,0.291374475,0.000125039,0.00015118,0.000107792,6,0.000975581,0.001254111,0.000769773,0.453756452,0,1,0.004908968,0.001874006,0.007139694,0.003831652,0.001701215,0.005396741,0.56601721,1,0.46551615,0.002276014,0.002570225,0.002059765,0.006507227,0.008226648,0.005245025,0.643029988,0.576545358,0.719579697,0.002940095,0.003662557,0.002409078,0.004824525,0.003263648,0.005972897,0.811256468,1,0.73538053,0.001999332,0.00144186,0.002409078,0.006465859,0.005248219,0.007361509,0.493424177,0.550215602,0.466336131,0.002306643,0.001874006,0.002624636
Delhi,7,0.000317511,0.000320059,0,0.257115811,0.257115811,NA,0.003985573,0.004017428,0,0.013779887,0.013733811,0.01964796,0.731797993,0.740018547,0,0.001822856,0.001683409,0.019269357,0.022802927,0.022826899,0.019715507,0.854260862,0.853283525,1,0.010469451,0.010245098,0.038538713,0.045460925,0.045352358,0.059472751,0.938627124,0.93800354,1,0.00841903,0.008178289,0.038538713,0.013580396,0.013674489,0.00184025,0.167177349,0.168379694,0.031179581,0.002701571,0.002723164,0,7,0,0,0,NA,NA,NA,0.002643692,0.002672405,0,0.001976378,0.001997901,0,0.2996701,0.2996701,NA,0.002643692,0.002672405,0,0.017168373,0.017356209,0,0.775720119,0.775720119,NA,0.007217,0.007295384,0,0.00080394,0.000812699,0,1,1,NA,0.003104845,0.003138567,0,0.003968866,0.004012087,0,0.831623018,0.831623018,NA,0.002643692,0.002672405,0
Rajasthan,8,0.000569371,0.000350574,0.000645192,1,1,1,0.000141821,0.000124443,0.000147843,0.009424474,0.008468937,0.009755544,0.756046832,0.783448577,0.74780488,0.000269996,0.000375629,0.000233392,0.006493315,0.011709927,0.004685738,0.846796393,0.899039507,0.801557362,0.000679016,0.000724193,0.000663362,0.011372461,0.024488168,0.006829564,0.903203905,0.944335461,0.852120578,0.000528421,0.000859312,0.000413758,0.006135692,0.007153236,0.005783151,0.285984188,0.19858335,0.370168358,0.000245417,0.000377884,0.000199513,8,0.000464201,0,0.000650641,0,NA,0,0.00026218,0,0.000367442,0.008425354,0.007921784,0.008627378,0.69765228,0.821979165,0.651853681,0.00141684,0.001956403,0.001200212,0.010529442,0.017919281,0.007564759,0.779593706,0.876930654,0.687092721,0.00141684,0.001956403,0.001200212,0.002485168,0.002794445,0.002360835,0.734998703,0.719965637,0.742152214,0.000936315,0,0.001312234,0.004902977,0.006854252,0.004118879,0.655933201,0.710281432,0.623673558,0.000623218,0,0.000873432
Uttar Pradesh,9,0.000724388,0.000985998,0.000630729,0.869562984,0.964370728,0.816502392,0.00021215,0.000411713,0.000140685,0.011797235,0.01044509,0.012281314,0.678621411,0.724931657,0.6645208,0.000303512,0.000507057,0.000230621,0.009979604,0.017652512,0.007236293,0.754536271,0.847819865,0.673176289,0.002017352,0.003197153,0.001594857,0.012568107,0.026491253,0.007587649,0.860691071,0.906562269,0.803402603,0.000661489,0.001476048,0.000369789,0.014330727,0.016766069,0.013458881,0.463984728,0.322604358,0.578218341,0.000221331,0.000446714,0.000140619,9,0.000843253,0.000169143,0.00114123,0.833757639,1,0.82286644,0.000619532,0,0.000893139,0.011427826,0.008611602,0.012672602,0.692579389,0.647114336,0.70623523,0.00079061,0.000216395,0.001044203,0.012976874,0.017369473,0.011037914,0.774270773,0.837636828,0.730255425,0.002496514,0.002842428,0.002343746,0.003234871,0.004022058,0.002886941,0.79229337,0.788150251,0.794844627,0.001097391,0.000539145,0.001343933,0.007362799,0.007265456,0.007405838,0.669834495,0.618911088,0.697640836,0.000946793,0.000167012,0.001291172
Bihar,10,0.006106882,0.000389537,0.006992876,0.496811032,1,0.492467314,0.002186408,0.003876336,0.001924014,0.018010939,0.008129096,0.019545197,0.823323727,0.755596817,0.827697158,0.001086046,0.001138192,0.00107795,0.0155918,0.016209912,0.015495908,0.741836905,0.831386864,0.72730422,0.003100775,0.003833544,0.002986998,0.012422551,0.029396294,0.00979216,0.783744752,0.823555768,0.76522398,0.002033848,0.003711258,0.001773397,0.022754554,0.015672084,0.023854407,0.590275228,0.298900098,0.660688102,0.002862795,0.002738143,0.00288215,10,0.001517765,0,0.001861785,0.625013828,NA,0.625013828,0.002344939,0.002730157,0.002257583,0.013672667,0.001447348,0.016449131,0.867585063,0.333333343,0.87826103,0.001214106,0,0.001489429,0.015263624,0.019793067,0.014232554,0.741820991,0.764780879,0.734552562,0.003108686,0,0.00381364,0.00502196,0.003641223,0.00533512,0.880758345,0.828578472,0.888835609,0.001558259,0.001424517,0.001588588,0.01568532,0.009248476,0.017146032,0.777623951,0.66476053,0.797910869,0.001880914,0.00130564,0.002011369
