newId,oldId,Name,Description,Category,Type,Region
l_bmi_all_fe,anorexia_fe,Anorexia (Female),% of (Female)s within unit of observation that classifies as Anorexic based on WHO standards,NCD,C,D
l_bmi_ur_fe,anorexia_ur_fe,Anorexia (Urban Female),% of (Female)s within urban unit of observation that classifies as Anorexic based on WHO standards,NCD,C,D
l_bmi_ru_fe,anorexia_ru_fe,Anorexia (Rural Female),% of (Female)s within rural unit of observation that classifies as Anorexic based on WHO standards,NCD,C,D
h_bmi_all_fe,hbmi_fe,Healthy (Female),% of (Female)s within unit of observation that classifies as healthy BMI based on WHO standards,NCD,C,D
h_bmi_ur_fe,hbmi_ur_fe,Healthy (Urban Female),% of (Female)s within urban unit of observation that classifies as healthy BMI based on WHO standards,NCD,C,D
h_bmi_ru_fe,hbmi_ru_fe,Healthy (Rural Female),% of (Female)s within rural unit of observation that classifies as healthy BMI based on WHO standards,NCD,C,D
hh_bmi_all_fe,overweight_fe,Overweight (Female),% of (Female)s within unit of observation that classifies as Overweight based on WHO standards,NCD,C,D
hh_bmi_ur_fe,overweight_ur_fe,Overweight (Urban Female),% of (Female)s within urban unit of observation that classifies as Overweight based on WHO standards,NCD,C,D
hh_bmi_ru_fe,overweight_ru_fe,Overweight (Rural Female),% of (Female)s within rural unit of observation that classifies as Overweight based on WHO standards,NCD,C,D
hhh_bmi_all_fe,obese_fe,Obese (Female),% of (Female)s within unit of observation that classifies as Obese based on WHO standards,NCD,C,D
hhh_bmi_ur_fe,obese_ur_fe,Obese (Urban Female),% of (Female)s within urban unit of observation that classifies as Obese based on WHO standards,NCD,C,D
hhh_bmi_ru_fe,obese_ru_fe,Obese (Urban Female),% of (Female)s within rural unit of observation that classifies as Obese based on WHO standards,NCD,C,D
h_Haemoglobin_all_fe,hHaemoglobin_fe,Healthy (Female),% of (Female)s within unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_ur_fe,hHaemoglobin_ur_fe,Healthy (Urban Female),% of (Female)s within urban unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_ru_fe,hHaemoglobin_ru_fe,Healthy (Rural Female),% of (Female)s within rural unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
l_Haemoglobin_all_fe,anemia_fe,Anaemic (Female),% of (Female)s within unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_Haemoglobin_ur_fe,anemia_ur_fe,Anaemic (Urban Female),% of (Female)s within urban unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_Haemoglobin_ru_fe,anemia_ru_fe,Anaemic (Rural Female),% of (Female)s within rural unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
hh_Haemoglobin_all_fe,highHaemoglobin_fe,High (Female),% of (Female)s within unit of observation that classifies as High Haemoglobin based on NIH standards,NCD,C,D
hh_Haemoglobin_ur_fe,highHaemoglobin_ur_fe,High (Urban Female),% of (Female)s within urban unit of observation that classifies as High Haemoglobin based on NIH standards,NCD,C,D
hh_Haemoglobin_ru_fe,highHaemoglobin_ru_fe,High (Rural Female),% of (Female)s within rural unit of observation that classifies as High Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_all_pw,hHaemoglobin_pw,Healthy (Pregnant Woman),% of pregnant womens within unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_ur_pw,hHaemoglobin_ur_pw,Healthy (Urban Pregnant Woman),% of pregnant womens within urban unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_ru_pw,hHaemoglobin_ru_pw,Healthy (Rural Pregnant Woman),% of pregnant womens within rural unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
l_Haemoglobin_all_pw,anemia_pw,Anaemic (Pregnant Woman),% of pregnant womens within unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_Haemoglobin_ur_pw,anemia_ur_pw,Anaemic (Urban Pregnant Woman),% of pregnant womens within urban unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_Haemoglobin_ru_pw,anemia_ru_pw,Anaemic (Rural Pregnant Woman),% of pregnant womens within rural unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
hh_Haemoglobin_all_pw,highHaemoglobin_pw,High (Pregnant Woman),% of pregnant womens within unit of observation that classifies as High Haemoglobin based on NIH standards,NCD,C,D
hh_Haemoglobin_ur_pw,highHaemoglobin_ur_pw,High (Urban Pregnant Woman),% of pregnant womens within urban unit of observation that classifies as High Haemoglobin based on NIH standards,NCD,C,D
hh_Haemoglobin_ru_pw,highHaemoglobin_ru_pw,High (Rural Pregnant Woman),% of pregnant womens within rural unit of observation that classifies as High Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_all_npw,hHaemoglobin_npw,Healthy (Non-Pregnant Woman),% of non-pregnant womens within unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_ur_npw,hHaemoglobin_ur_npw,Healthy (Urban Non-Pregnant Woman),% of non-pregnant womens within urban unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
h_Haemoglobin_ru_npw,hHaemoglobin_ru_npw,Healthy (Rural Non-Pregnant Woman),% of non-pregnant womens within rural unit of observation that classifies as Healthy Haemoglobin based on NIH standards,NCD,C,D
l_Haemoglobin_all_npw,anemia_npw,Anaemic (Non-Pregnant Woman),% of non-pregnant womens within unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_Haemoglobin_ur_npw,anemia_ur_npw,Anaemic (Urban Non-Pregnant Woman),% of non-pregnant womens within urban unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
l_Haemoglobin_ru_npw,anemia_ru_npw,Anaemic (Rural Non-Pregnant Woman),% of non-pregnant womens within rural unit of observation that classifies as Anemic based on NIH standards,NCD,C,D
