ST_NM,ST_CD,sc_anm_q,sc_anm_liv_q,sc_reg_wtr,sc_ele_sply,sc_all_wth_r,sc_health_f_work,sc_health_m_work,phc_lbr_room,phc_ot,phc_4bed,phc_ele_sply,phc_reg_wtr,phc_all_wth_road,phc_comp,phc_ref_trans,phc_ayush,phc_f_ass,phc_m_ass,phc_doc,phc_lac_tech,phc_pharma,phc_lady_doc,phc_chc_pharma,phc_chc_lab_tech,phc_chc_nurse,chc_xray,chc_q_sply_doc,chc_q_doc_in_q,chc_ref_t,chc_allop,chc_ayush,chc_func_lab,chc_ot,chc_lbr_room,chc_new_born,chc_30bed,chc_total_spl,chc_gen_duty,chc_radio,sdh_doc,sdh_para,dh_doc,dh_para
Andhra Pradesh,36,0.319623972,0.319623972,1,1,1,1.527745136,0.327066197,1,1,1,1,1,1,0.752104771,0,0.863423761,1.218896165,0,1.320860617,0.675397568,0.805425631,0.504209542,0.762019231,0.621794872,0.863910422,0.547486034,0.374301676,0.374301676,1,1,0.446927374,1,1,1,1,1,0.222067039,0.871794872,0.206703911,0.780246914,0.871257485,0.610126582,0.904808636
Arunachal Pradesh ,12,0.611888112,0.398601399,0.353146853,0.388111888,0.367132867,0.573426573,0.300699301,0.52991453,0.136752137,0.401709402,0.811965812,0.760683761,0.752136752,0.196581197,0.401709402,0.205128205,0.034188034,0.615384615,0.871794872,0.512820513,0.512820513,0.239316239,0.573964497,0.437869822,0.663201663,0.230769231,0.019230769,0.019230769,0.807692308,0.942307692,0.423076923,0.826923077,0.576923077,0.884615385,0.673076923,0.076923077,0.004807692,NA,0.134615385,NA,NA,NA,NA
Assam ,18,0.478467864,0.095217485,0.502705042,0.492101277,0.882492967,1.683185458,0.733823848,0.710059172,0.027613412,0.291913215,0.911242604,0.872781065,0.957593688,0.568047337,0.41913215,0.444773176,0.373767258,0,1.336291913,0.731755424,0.82642998,0.192307692,1.156223176,1.051502146,1.475615645,0.278145695,0.516556291,0.350993377,0.761589404,0.509933775,0.311258278,0.847682119,0.198675497,0.78807947,0.701986755,0.562913907,0.200331126,NA,0.430463576,NA,NA,NA,NA
Bihar,10,0.133826704,0.01161476,0.498920752,0.345873163,NA,1.94624319,0.110391613,0.422198619,0.263409453,NA,1,NA,NA,0.263409453,0.196494955,0.734997345,0.190122146,0.013276686,1.33882103,0.864046734,0.893255443,0.082846522,0.128008193,0.312852023,0.731563422,0.671428571,0.4,0.342857143,1,0.714285714,0.128571429,0.742857143,0.9,1,0.314285714,1,0.225,NA,0.185714286,NA,NA,NA,NA
Chhattisgarh,22,0.63555727,0.549170845,0.635750096,0.738526803,0.81623602,0.971075974,0.682607019,0.771464646,0.291666667,0.583333333,0.911616162,0.820707071,0.880050505,0.861111111,0.38510101,0.573232323,0.589646465,0.426767677,0.464646465,0.633838384,0.782828283,0.112373737,0.89123548,0.693769799,0.805007991,0.741935484,0.625806452,0.393548387,0.980645161,1,0.658064516,0.974193548,0.793548387,0.948387097,0.890322581,0.787096774,0.125806452,0.531847134,0.825806452,0.242038217,0.48943662,0.563260341,0.838372093
Goa,30,0,0,1,1,1,0.645933014,0.411483254,0.666666667,0.666666667,0.333333333,1,1,1,1,1,0.666666667,0.428571429,0,2.666666667,1,1,0.714285714,0.64,0.56,1.755102041,0.75,0,0,1,1,0.75,1,1,1,1,1,0.25,0.833333333,1,NA,NA,0.863013699,1.036585366
Gujarat#,24,0.646409525,0.646409525,1,1,1,0.860473769,0.716606722,0.900561347,0.928628709,0.900561347,1,1,1,0.928628709,0.928628709,0.344025662,0.437850842,0.605453087,0.712910986,0.982357658,0.498797113,0.27425822,0.56094448,0.894065093,0.775738457,0.790625,0.203125,0.0875,0.99375,0.99375,0.953125,0.99375,0.953125,0.953125,0.45,0.99375,0.0578125,0.704716981,0.546875,NA,NA,NA,NA
Haryana,6,0.410276372,0.249902686,0.865706501,1,1,1.665628649,0.460101207,0.702819957,0.117136659,0.594360087,1,1,1,0.752711497,0.763557484,0.21691974,0.620390456,0.505422993,1.060737527,0.902386117,0.930585683,0.227765727,0.89122807,0.766666667,1.376633987,0.513761468,0.321100917,0.183486239,1,1,0.733944954,0.926605505,0.596330275,0.944954128,0.889908257,0.431192661,0.068807339,0.646341463,0.486238532,0.742222222,0.837593985,1.31616341,0.842541436
Himachal Pradesh,2,0.58401937,0.383535109,0.824697337,0.910411622,0.737530266,0.968038741,0.473607748,0.384,0.362,0.318,1,0.944,0.938,0.048,1,0.06,0.254,0.138,1.142,0.762,0.782,0.216,0.788927336,0.271626298,0.60707457,0.974358974,0.166666667,0.076923077,1,1,0.153846154,1,0.961538462,0.974358974,0.794871795,0.307692308,0.022435897,0.888888889,0.551282051,NA,0.81508079,NA,NA
Jammu & Kashmir,1,0.100220751,0.06799117,0.430463576,0.552759382,0.703311258,1.698013245,0.234437086,0.514913658,0.020408163,0.602825746,0.872841444,0.852433281,0.846153846,0.188383046,0.568288854,0.571428571,0.178963893,0.117739403,1.309262166,0.552590267,0.87755102,0.461538462,1.209431345,1.058252427,0.966530612,0.976190476,0.523809524,0.428571429,1,1,0.476190476,1,0.797619048,1,0.797619048,0.666666667,0.49702381,0.690414508,2.845238095,NA,NA,0.742800397,0.799729364
Jharkhand,20,0.172605509,0.133687137,0.314632297,0.193075562,0.744503412,1.691180187,0.097548648,0.620795107,0.259938838,0.425076453,0.574923547,0.470948012,0.908256881,0.009174312,0.174311927,0.067278287,0.048929664,0.082568807,1.137614679,0.376146789,0.305810398,0.107033639,0.59223301,0.584466019,0.748630554,0.207446809,0.271276596,0.255319149,1,1,0.218085106,0.925531915,0.877659574,0.904255319,0.904255319,0.218085106,0.170212766,1.342198582,0.308510638,0.963855422,1.157407407,1.109589041,2.06684492
Karnataka,29,0.56455095,0.507124352,0.954231434,0.965025907,0.97376943,0.969019862,0.367983592,0.712707182,0.526561836,0.963450914,0.983000425,0.960900977,0.919677008,0.915852104,0.446238844,0.195070123,0.437739057,1.44878878,0.933276668,0.772205695,0.750956226,0.175945601,0.985150449,0.505666276,0.836890646,0.747572816,0.757281553,0.310679612,0.936893204,1,0.422330097,1,0.936893204,0.936893204,0.936893204,1,0.609223301,0.878431373,0.82038835,0.685051546,0.684445083,0.736347622,0.711340206
Kerala,32,0.553224044,0.388415301,0.867322404,0.976393443,0.949726776,1.003278689,0.743387978,0.07496977,0.072551391,0.303506651,1,1,0.941958888,0.991535671,0.070133011,0.00120919,0.015719468,2.656590085,1.413542926,0.142684401,1,0.555018138,1.050524309,0.347950429,1.666946661,0.130630631,0,0,0.837837838,1,0,0.792792793,0.477477477,0.369369369,0.036036036,0.391891892,0.043918919,1.304737516,0.081081081,1.27926078,NA,NA,NA
Madhya Pradesh,23,0.851174935,0.542319408,0.682114883,0.794930374,0.81886423,1.202893821,0.467254134,0.9735269,0.37147737,0.985482494,1,0.904355252,0.933390265,0.311699402,0.689154569,0.143467122,0.443210931,0.245943638,0.853116994,0.524338173,0.614859095,0.076003416,0.679734219,0.59269103,1.034197777,0.194610778,0.655688623,0.362275449,1,1,0.667664671,0.967065868,0.937125749,1,0.967065868,1,0.196856287,0.779080252,0.505988024,0.781733746,0.793040293,0.663555763,0.633858268
Maharashtra,27,0.810775047,0.7463138,0.597920605,0.85094518,0.963705104,1.441304348,0.632325142,0.905577029,0.822197681,1,0.98012148,1,0.951408062,0.993373827,0.985643291,0.474875759,0.994478189,0.894533407,1.621755936,0.688569851,0.934842628,0.379348426,0.967296177,0.638876094,0.58531517,0.683333333,0.511111111,0.511111111,1,1,1,1,1,1,1,1,0.401388889,0.94921875,0.288888889,0.839941263,0.84223013,0.760835913,0.926922262
Manipur,14,0.002375297,0,0.118764846,0.363420428,0.726840855,1.895486936,0.895486936,0.505882353,0,0.494117647,0.847058824,0.505882353,0.917647059,0.858823529,0.223529412,0.847058824,0.752941176,0.764705882,2.341176471,0.611764706,0.776470588,0.623529412,1.431372549,0.941176471,2.12254902,0.705882353,0,0,1,1,1,0.941176471,0,0.941176471,0.882352941,0.352941176,0.044117647,0.969072165,0.764705882,0.352941176,0.489361702,0.762452107,0.411347518
Meghalaya,17,0.581775701,0.317757009,0.273364486,0.455607477,0.901869159,1.663551402,0.310747664,0.918181818,0,0.972727273,1,0.772727273,0.981818182,0.772727273,1,0.609090909,0.590909091,0.672727273,1.036363636,0.945454545,0.981818182,0.409090909,0.98540146,0.912408759,1.381270903,0.185185185,0,0,1,0.777777778,0.518518519,0.740740741,0.333333333,0.740740741,0.851851852,0.703703704,0.027777778,0.813186813,0.703703704,0.909090909,1,0.996240602,0.975232198
Mizoram,15,0.945945946,0.945945946,0.648648649,1,0.864864865,1.724324324,1.078378378,1,1,1,1,1,1,0.947368421,1,0.087719298,0.333333333,0.385964912,0.859649123,1,1,0.298245614,0.696969697,0.924242424,1.866666667,1,0.111111111,0,1,1,0.777777778,1,1,1,1,1,0,NA,0.555555556,NA,NA,NA,NA
Nagaland,13,0.058080808,0.058080808,0.52020202,0.732323232,0.707070707,1.828282828,0,0.796875,0.3046875,0.9609375,0.9453125,0.84375,0.8984375,0.28125,0.328125,0.0625,0.1875,0.4140625,1.0390625,0.3125,0.875,0.2109375,0.677852349,0.483221477,1.374545455,0.238095238,0.714285714,0.714285714,1,1,1,1,1,1,1,1,0.047619048,1.261904762,0.047619048,NA,NA,NA,1.185483871
Odisha,21,0.590311005,0.4159689,0.581788278,0.60645933,0.972787081,1.097338517,0.530203349,0.776245211,0,0.021455939,0.891954023,0.776245211,0.995402299,0.022988506,0.033716475,0.890421456,0.54559387,0,0.772413793,0,0.904980843,0.260536398,0.891200951,0.224732461,0.319472617,0.111405836,0.774535809,0.697612732,1,1,0.832891247,1,0.827586207,1,0.915119363,0.159151194,0.236074271,1.031180401,0.148541114,0.672176309,1.179700499,0.536921151,1.165957447
Punjab,3,0.300914944,0.052524568,0.94408675,0.932226364,1,1.445611657,0.579464588,0.637002342,0.25058548,0.587822014,0.992974239,1,1,0.276346604,0.234192037,0.477751756,0.913348946,0.667447307,1.032786885,0.613583138,0.911007026,0.451990632,1.396880416,0.835355286,1.29113067,0.786666667,0.58,0.313333333,0.82,1,0.92,0.933333333,0.92,0.94,0.72,1,0.288333333,2.137931034,0.906666667,0.679378531,0.883913765,0.826023392,0.808890926
Rajasthan,8,0.471576317,0.423127646,0.579995835,0.590893316,0.876796002,0.986256681,0.127854515,0.74699952,0.291406625,0.723475756,0.937590014,0.899663946,0.810369659,0.719635142,0.564090254,0.35093615,0.549207873,0.024963994,1.157945271,0.668747,0.241478637,0.12049928,0.251603169,0.72802716,1.526654563,0.713028169,0.633802817,0.473591549,0.901408451,0.991197183,0.408450704,0.943661972,0.748239437,0.941901408,0.603873239,0.746478873,0.231514085,0.742718447,0.403169014,0.75502008,0.5387471,0.646853147,0.797782258
Sikkim,11,0.768707483,0.238095238,0.918367347,1,0.850340136,1.346938776,0.782312925,1,0.958333333,1,1,1,1,1,1,0.125,0.791666667,0.458333333,1.208333333,0.916666667,0.458333333,0.583333333,0.538461538,1.192307692,1.078947368,1,0,0,1,1,1,1,1,1,1,0.5,0,NA,0,NA,NA,NA,NA
Tamil Nadu,33,0.765563979,0.316333563,1,1,1,0.881690788,0.262347806,0.895772595,0.053206997,0.647230321,1,1,1,0.994897959,1,0.391399417,0.624635569,1.302478134,1.731049563,0.489067055,0.860787172,0.700437318,0.868525896,0.74786568,1.806983034,0.457142857,0.148051948,0.023376623,1,1,1,1,0.906493506,1,1,0.776623377,0,0.906722251,0.506493506,0.873764259,0.841346154,0.816961562,0.822182037
Telangana,37,0.364589759,0.364589759,1,1,1,1.584412914,0.294468435,1,1,1,1,1,1,0.872754491,0,1,1.413173653,0,1.532934132,0.624251497,0.773952096,0.583832335,0.883631714,0.723785166,0.991132333,0.605263158,0.289473684,0.289473684,1,1,0.50877193,1,1,1,0.912280702,1,0.254385965,0.871681416,0.245614035,0.763754045,0.870523416,0.61952862,0.920592194
