state_code,state,districts
1,Jammu & Kashmir,Kupwara
1,Jammu & Kashmir,Badgam
1,Jammu & Kashmir,Leh Ladakh
1,Jammu & Kashmir,Kargil
1,Jammu & Kashmir,Punch
1,Jammu & Kashmir,Rajouri
1,Jammu & Kashmir,Kathua
1,Jammu & Kashmir,Baramula
1,Jammu & Kashmir,Bandipora
1,Jammu & Kashmir,Srinagar
1,Jammu & Kashmir,Ganderbal
1,Jammu & Kashmir,Pulwama
1,Jammu & Kashmir,Shopian
1,Jammu & Kashmir,Anantnag
1,Jammu & Kashmir,Kulgam
1,Jammu & Kashmir,Doda
1,Jammu & Kashmir,Ramban
1,Jammu & Kashmir,Kishtwar
1,Jammu & Kashmir,Udhampur
1,Jammu & Kashmir,Reasi
1,Jammu & Kashmir,Jammu
1,Jammu & Kashmir,Samba
2,Himachal Pradesh,Chamba
2,Himachal Pradesh,Kangra
2,Himachal Pradesh,Lahul Spiti
2,Himachal Pradesh,Kullu
2,Himachal Pradesh,Mandi
2,Himachal Pradesh,Hamirpur
2,Himachal Pradesh,Una
2,Himachal Pradesh,Bilaspur
2,Himachal Pradesh,Solan
2,Himachal Pradesh,Sirmaur
2,Himachal Pradesh,Shimla
2,Himachal Pradesh,Kinnaur
3,Punjab,Gurdaspur
3,Punjab,Kapurthala
3,Punjab,Jalandhar
3,Punjab,Hoshiarpur
3,Punjab,Shahid Bhagat Singh Nagar
3,Punjab,Fatehgarh Sahib
3,Punjab,Ludhiana
3,Punjab,Moga
3,Punjab,Firozpur
3,Punjab,Muktsar
3,Punjab,Faridkot
3,Punjab,Bathinda
3,Punjab,Mansa
3,Punjab,Patiala
3,Punjab,Amritsar
3,Punjab,Tarn Taran
3,Punjab,Rupnagar
3,Punjab,Sahibzada Ajit Singh Nagar
3,Punjab,Sangrur
3,Punjab,Barnala
4,Chandigarh,Chandigarh
5,Uttarakhand,Uttarkashi
5,Uttarakhand,Chamoli
5,Uttarakhand,Rudraprayag
5,Uttarakhand,Tehri Garhwal
5,Uttarakhand,Dehradun
5,Uttarakhand,Garhwal
5,Uttarakhand,Pithoragarh
5,Uttarakhand,Bageshwar
5,Uttarakhand,Almora
5,Uttarakhand,Champawat
5,Uttarakhand,Nainital
5,Uttarakhand,Udham Singh Nagar
5,Uttarakhand,Hardwar
6,Haryana,Panchkula
6,Haryana,Ambala
6,Haryana,Yamunanagar
6,Haryana,Kurukshetra
6,Haryana,Kaithal
6,Haryana,Karnal
6,Haryana,Panipat
6,Haryana,Sonipat
6,Haryana,Jind
6,Haryana,Fatehabad
6,Haryana,Sirsa
6,Haryana,Hisar
6,Haryana,Bhiwani
6,Haryana,Rohtak
6,Haryana,Jhajjar
6,Haryana,Mahendragarh
6,Haryana,Rewari
6,Haryana,Gurgaon
6,Haryana,Mewat
6,Haryana,Faridabad
6,Haryana,Palwal
7,Delhi,North West
7,Delhi,North
7,Delhi,North East
7,Delhi,East
7,Delhi,New Delhi
7,Delhi,Central
7,Delhi,West
7,Delhi,South West
7,Delhi,South
8,Rajasthan,Ganganagar
8,Rajasthan,Hanumangarh
8,Rajasthan,Bikaner
